gene1,gene2,STRING_score,double,gene_sc,gene_mouse,gene_pattern,gene_SHH_link,gene_SHH_corr,combined_score_SHH
AARS1,XBP1,0.432,keep,NA,NA,FALSE,FALSE,-0.120020523849474,0
AARS1,ME3,0.41,keep,NA,NA,FALSE,FALSE,-0.120020523849474,0
AARS1,NMD3,0.512,keep,NA,NA,FALSE,FALSE,-0.120020523849474,0
AARS1,SLC3A2,0.533,keep,NA,NA,FALSE,FALSE,-0.120020523849474,0
ABCA1,APOA1,0.999,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,CELSR2,0.546,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,MERTK,0.47,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,TRIB1,0.408,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,HADHB,0.48,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,TNRC6C,0.512,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,INSIG1,0.696,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,DHCR7,0.479,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,DMD,0.567,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,FDFT1,0.477,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,TNRC6B,0.521,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,MTTP,0.566,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ABCA1,RXRA,0.916,keep,expressed,NA,FALSE,FALSE,0.0713072748800199,0
ACKR3,CXCR4,0.996,keep,expressed,NA,FALSE,FALSE,0.493720384520869,0
ACTN3,VCL,0.536,keep,NA,NA,FALSE,FALSE,-0.174899837874338,0
ACTN3,CASQ2,0.412,keep,NA,NA,FALSE,FALSE,-0.174899837874338,0
ACTN3,PDLIM3,0.446,keep,NA,NA,FALSE,FALSE,-0.174899837874338,0
ACTN3,MYLPF,0.784,keep,NA,NA,FALSE,FALSE,-0.174899837874338,0
ACTN3,TPM1,0.681,keep,NA,NA,FALSE,FALSE,-0.174899837874338,0
ACVR2B,SMAD7,0.829,keep,expressed,NA,FALSE,FALSE,0.0468570966093605,0
ACVR2B,LRIG1,0.598,keep,expressed,NA,FALSE,FALSE,0.0468570966093605,0
ACVR2B,GJA1,0.703,keep,expressed,NA,FALSE,FALSE,0.0468570966093605,0
ACVR2B,ZIC3,0.909,keep,expressed,NA,FALSE,FALSE,0.0468570966093605,0
ACVR2B,BMP1,0.439,keep,expressed,NA,FALSE,FALSE,0.0468570966093605,0
ACVR2B,BMPR2,0.951,keep,expressed,NA,FALSE,FALSE,0.0468570966093605,0
ACVR2B,TGFBR1,0.999,keep,expressed,NA,FALSE,FALSE,0.0468570966093605,0
ADD3,BAIAP2L1,0.432,keep,expressed,NA,FALSE,FALSE,-0.0836839306842297,0
ADD3,APOA1,0.443,keep,expressed,NA,FALSE,FALSE,-0.0836839306842297,0
ADD3,TMOD2,0.937,keep,expressed,NA,FALSE,FALSE,-0.0836839306842297,0
ADD3,STOM,0.561,keep,expressed,NA,FALSE,FALSE,-0.0836839306842297,0
ADD3,BASP1,0.41,keep,expressed,NA,FALSE,FALSE,-0.0836839306842297,0
ADD3,EFHD2,0.4,keep,expressed,NA,FALSE,FALSE,-0.0836839306842297,0
ADD3,SOWAHC,0.406,keep,expressed,NA,FALSE,FALSE,-0.0836839306842297,0
ADD3,MSN,0.501,keep,expressed,NA,FALSE,FALSE,-0.0836839306842297,0
ADRA2B,GNG11,0.541,keep,expressed,NA,FALSE,FALSE,-0.0114090780687987,0
ADRA2B,RGS16,0.504,keep,expressed,NA,FALSE,FALSE,-0.0114090780687987,0
AEN,PLK2,0.429,keep,expressed,NA,FALSE,FALSE,-0.0855561508270728,0
AFF2,NLGN3,0.439,keep,expressed,tested,FALSE,FALSE,0.259293759479568,0
AFF2,CUL4B,0.413,keep,expressed,tested,FALSE,FALSE,0.259293759479568,0
AHCYL1,SOX2,0.51,keep,expressed,NA,FALSE,FALSE,-0.0479679506720206,0
AHCYL1,HADHB,0.411,keep,expressed,NA,FALSE,FALSE,-0.0479679506720206,0
AHCYL1,PRDX6,0.444,keep,expressed,NA,FALSE,FALSE,-0.0479679506720206,0
AK3,PDE4D,0.91,keep,expressed,NA,FALSE,FALSE,0.00974490425983016,0
ALDH7A1,HIBADH,0.927,keep,expressed,NA,FALSE,FALSE,0.0640640646767524,0
ALDH7A1,PDE4D,0.91,keep,expressed,NA,FALSE,FALSE,0.0640640646767524,0
ANGPTL2,MYLK,0.486,keep,expressed,NA,FALSE,FALSE,0.0138575381174038,0
ANGPTL2,CXCR4,0.561,keep,expressed,NA,FALSE,FALSE,0.0138575381174038,0
ANXA3,FRMD3,0.476,keep,expressed,NA,FALSE,FALSE,-0.0273061416353149,0
ANXA3,ANXA5,0.485,keep,expressed,NA,FALSE,FALSE,-0.0273061416353149,0
ANXA5,VCL,0.685,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,LGALS1,0.689,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,XBP1,0.539,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,HSPB1,0.51,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,LGALS3,0.477,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,FGF2,0.607,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,EGF,0.659,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,KIT,0.654,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,ATP1A2,0.42,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,NES,0.428,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,GADD45A,0.439,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,FOXO1,0.465,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,NCAM1,0.479,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
