gene1,gene2,STRING_score,double,gene_mouse,scRNA,gene_SHH_link,gene1_SHH_corr,gene2_SHH_corr
A1CF,SFMBT1,0.446,keep,NA,expressed,FALSE,-7.10768301166791e-08,-2.99965595843566e-05
AARS1,XBP1,0.432,keep,NA,NA,FALSE,-0.120020523849474,-0.205511865514058
AARS1,ME3,0.41,keep,NA,NA,FALSE,-0.120020523849474,-0.136413668232649
AARS1,SLC3A2,0.533,keep,NA,NA,FALSE,-0.120020523849474,-0.111953784736773
AARS1,TENT4A,0.55,keep,NA,NA,FALSE,-0.120020523849474,-4.5777654962916e-05
AARS1,FAM89A,0.577,keep,NA,NA,FALSE,-0.120020523849474,-1.82157988534782e-05
AARS1,WARS1,0.906,keep,NA,NA,FALSE,-0.120020523849474,-0.00114763869431409
ACOXL,ACSS2,0.479,keep,NA,expressed,FALSE,-0.00137469013609055,-6.70231770178531e-05
ACOXL,ACSL4,0.498,keep,NA,expressed,FALSE,-0.00137469013609055,-0.0057080964896822
ACSL4,ACSS2,0.464,keep,NA,expressed,FALSE,-0.0057080964896822,-6.70231770178531e-05
ACSL4,PEMT,0.418,keep,NA,expressed,FALSE,-0.0057080964896822,-5.40285069966732e-06
ACSL4,LIPG,0.66,keep,NA,expressed,FALSE,-0.0057080964896822,-4.71369688898995e-06
ACSL4,NMT1,0.412,keep,NA,expressed,FALSE,-0.0057080964896822,-0.000162465540854983
ACSL4,FDFT1,0.478,keep,NA,expressed,FALSE,-0.0057080964896822,-0.150156462326602
ACSL4,SLC1A5,0.491,keep,NA,expressed,FALSE,-0.0057080964896822,-0.00908777344432331
ACSL4,SLC3A2,0.628,keep,NA,expressed,FALSE,-0.0057080964896822,-0.111953784736773
ACSS2,GNPNAT1,0.408,keep,NA,expressed,FALSE,-6.70231770178531e-05,-9.58705131419485e-05
ACSS2,PECR,0.41,keep,NA,expressed,FALSE,-6.70231770178531e-05,-5.34973233808549e-05
ACSS2,PFKP,0.417,keep,NA,expressed,FALSE,-6.70231770178531e-05,-0.00261783097503874
ACSS2,IDI1,0.449,keep,NA,expressed,FALSE,-6.70231770178531e-05,-0.0334310217011172
ACSS2,DHCR7,0.457,keep,NA,expressed,FALSE,-6.70231770178531e-05,-0.0111381586806822
ACSS2,TKTL1,0.483,keep,NA,expressed,FALSE,-6.70231770178531e-05,-7.64900737949211e-06
ACSS2,ME3,0.5,keep,NA,expressed,FALSE,-6.70231770178531e-05,-0.136413668232649
ACSS2,INSIG1,0.535,keep,NA,expressed,FALSE,-6.70231770178531e-05,-0.0690379386542829
ACSS2,FDFT1,0.569,keep,NA,expressed,FALSE,-6.70231770178531e-05,-0.150156462326602
ACSS2,PPARGC1A,0.63,keep,NA,expressed,FALSE,-6.70231770178531e-05,-7.80092631166548e-05
ACSS2,HIBADH,0.833,keep,NA,expressed,FALSE,-6.70231770178531e-05,-0.0124448873113355
ACTC1,VCL,0.681,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.241309174809143
ACTC1,DPF2,0.417,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.0338918577764492
ACTC1,CNN1,0.702,keep,NA,expressed,FALSE,-1.94978978673754e-05,-4.57516311670523e-05
ACTC1,SRF,0.641,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.000847777206305623
ACTC1,GJA1,0.656,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.0712522563520117
ACTC1,PDLIM3,0.567,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.126281937903493
ACTC1,DMD,0.401,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.280251419695225
ACTC1,DSP,0.403,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.401604641500033
ACTC1,FOXO3,0.449,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.197110893411986
ACTC1,ACTN3,0.45,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.174899837874338
ACTC1,NEBL,0.457,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.00751533349303729
ACTC1,DTNA,0.523,keep,NA,expressed,FALSE,-1.94978978673754e-05,-3.61474057386867e-06
ACTC1,MYLK,0.566,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.3526252084112
ACTC1,TPM4,0.948,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.0095215136943891
ACTC1,TPM1,0.999,keep,NA,expressed,FALSE,-1.94978978673754e-05,-0.388576658346598
ACTN3,VCL,0.536,keep,NA,NA,FALSE,-0.174899837874338,-0.241309174809143
ACTN3,PYGL,0.452,keep,NA,NA,FALSE,-0.174899837874338,-0.00055988442861448
ACTN3,PPARGC1A,0.418,keep,NA,NA,FALSE,-0.174899837874338,-7.80092631166548e-05
ACTN3,ANK3,0.419,keep,NA,NA,FALSE,-0.174899837874338,-4.2759640515481e-05
ACTN3,PDLIM3,0.446,keep,NA,NA,FALSE,-0.174899837874338,-0.126281937903493
ACTN3,LTBP4,0.469,keep,NA,NA,FALSE,-0.174899837874338,-6.53193385197445e-05
ACTN3,TPM1,0.681,keep,NA,NA,FALSE,-0.174899837874338,-0.388576658346598
ACTN3,NEBL,0.437,keep,NA,NA,FALSE,-0.174899837874338,-0.00751533349303729
