gene1,gene2,STRING_score,double,gene_mouse,scRNA,gene_SHH_link,gene1_SHH_corr,gene2_SHH_corr
ABCA1,APOA1,0.999,keep,NA,expressed,FALSE,0.0713072748800199,0.0558908122561575
ABCA1,CELSR2,0.546,keep,NA,expressed,FALSE,0.0713072748800199,0.0396321235814428
ABCA1,HADHB,0.48,keep,NA,expressed,FALSE,0.0713072748800199,0.0516989312277486
ABCA1,NR1I2,0.429,keep,NA,expressed,FALSE,0.0713072748800199,0.000325764065971598
ABCA1,MBTPS1,0.509,keep,NA,expressed,FALSE,0.0713072748800199,0.00739477852390269
ABCA1,ABCG1,0.54,keep,NA,expressed,FALSE,0.0713072748800199,0.000396886571911337
ABCA1,CHD9,0.427,keep,NA,expressed,FALSE,0.0713072748800199,0.000572936909560125
ABCA1,TNRC6B,0.521,keep,NA,expressed,FALSE,0.0713072748800199,0.0426903362984009
ABCA1,MTTP,0.566,keep,NA,expressed,FALSE,0.0713072748800199,0.115787879444773
ABCA1,RXRA,0.916,keep,NA,expressed,FALSE,0.0713072748800199,0.135757844072098
ABCC4,HPGD,0.424,keep,NA,expressed,FALSE,5.70620300408606e-05,0.000953838994481211
ABCC4,NR1I2,0.722,keep,NA,expressed,FALSE,5.70620300408606e-05,0.000325764065971598
ABCC4,ABCG1,0.591,keep,NA,expressed,FALSE,5.70620300408606e-05,0.000396886571911337
ABCG1,APOA1,0.997,keep,NA,expressed,FALSE,0.000396886571911337,0.0558908122561575
ABCG1,HADHB,0.451,keep,NA,expressed,FALSE,0.000396886571911337,0.0516989312277486
ABCG1,MTTP,0.42,keep,NA,expressed,FALSE,0.000396886571911337,0.115787879444773
ABCG1,RXRA,0.815,keep,NA,expressed,FALSE,0.000396886571911337,0.135757844072098
ABHD3,LYPLA2,0.488,keep,NA,expressed,FALSE,0.000168777149823991,0.000235901149041903
ACAD8,OXCT1,0.431,keep,NA,expressed,FALSE,1.75811844469073e-05,2.34960768534111e-05
ACAD8,HSDL1,0.454,keep,NA,expressed,FALSE,1.75811844469073e-05,0.00328761173417456
ACAD8,ACADS,0.939,keep,NA,expressed,FALSE,1.75811844469073e-05,3.12730894431615e-06
ACAD8,ALDH1B1,0.417,keep,NA,expressed,FALSE,1.75811844469073e-05,9.85732431771271e-05
ACAD8,VPS26B,0.422,keep,NA,expressed,FALSE,1.75811844469073e-05,1.196942959317e-06
ACAD8,ECHDC2,0.555,keep,NA,expressed,FALSE,1.75811844469073e-05,0.0637242505088718
ACAD8,CRYL1,0.603,keep,NA,expressed,FALSE,1.75811844469073e-05,3.77191319245461e-05
ACAD8,HADHB,0.704,keep,NA,expressed,FALSE,1.75811844469073e-05,0.0516989312277486
ACADS,OXCT1,0.506,keep,NA,expressed,FALSE,3.12730894431615e-06,2.34960768534111e-05
ACADS,PC,0.454,keep,NA,expressed,FALSE,3.12730894431615e-06,1.88604643863344e-05
ACADS,ACSF2,0.548,keep,NA,expressed,FALSE,3.12730894431615e-06,0.00094097206134505
ACADS,ECHDC2,0.603,keep,NA,expressed,FALSE,3.12730894431615e-06,0.0637242505088718
ACADS,CRYL1,0.645,keep,NA,expressed,FALSE,3.12730894431615e-06,3.77191319245461e-05
ACADS,ALDH1B1,0.885,keep,NA,expressed,FALSE,3.12730894431615e-06,9.85732431771271e-05
ACADS,ALDH7A1,0.887,keep,NA,expressed,FALSE,3.12730894431615e-06,0.0640640646767524
ACADS,HADHB,0.985,keep,NA,expressed,FALSE,3.12730894431615e-06,0.0516989312277486
ACKR3,GPSM1,0.4,keep,NA,expressed,FALSE,0.493720384520869,9.74350555687654e-05
ACKR3,PSMA7,0.428,keep,NA,expressed,FALSE,0.493720384520869,0.00116336248587619
ACKR3,CXCR4,0.996,keep,NA,expressed,FALSE,0.493720384520869,0.106669358550061
ACSF2,CRYL1,0.539,keep,NA,expressed,FALSE,0.00094097206134505,3.77191319245461e-05
ACSF2,HADHB,0.469,keep,NA,expressed,FALSE,0.00094097206134505,0.0516989312277486
ACSF2,ECHDC2,0.531,keep,NA,expressed,FALSE,0.00094097206134505,0.0637242505088718
ACVR2B,CHRD,0.482,keep,NA,expressed,FALSE,0.0468570966093605,1.50353944715565e-06
ACVR2B,TGFB3,0.495,keep,NA,expressed,FALSE,0.0468570966093605,4.81377888782815e-06
ACVR2B,SNX1,0.557,keep,NA,expressed,FALSE,0.0468570966093605,0.00234479425882918
ACVR2B,SMAD7,0.829,keep,NA,expressed,FALSE,0.0468570966093605,0.0125828322890138
ACVR2B,LEFTY1,0.921,keep,NA,expressed,FALSE,0.0468570966093605,1.63782096055271e-05
ACVR2B,BMP1,0.439,keep,NA,expressed,FALSE,0.0468570966093605,0.0642225946313085
ACVR2B,BMPER,0.67,keep,NA,expressed,FALSE,0.0468570966093605,0.00133356827784874
ACVR2B,BMPR2,0.951,keep,NA,expressed,FALSE,0.0468570966093605,0.176559803563537
