"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
"GO:0007409","GO:0007409","axonogenesis",0.0672,"456/20772",1.39220222673726e-10,6.53778165675818e-07,5.99526243113909e-07,"ENSG00000001617/ENSG00000007372/ENSG00000018189/ENSG00000035403/ENSG00000074047/ENSG00000084234/ENSG00000104290/ENSG00000106571/ENSG00000106689/ENSG00000111678/ENSG00000112658/ENSG00000116035/ENSG00000116106/ENSG00000118263/ENSG00000128610/ENSG00000129116/ENSG00000134250/ENSG00000134259/ENSG00000139174/ENSG00000140937/ENSG00000143013/ENSG00000144857/ENSG00000148704/ENSG00000149658/ENSG00000151150/ENSG00000153404/ENSG00000154645/ENSG00000156299/ENSG00000165588/ENSG00000166579/ENSG00000167680/ENSG00000170340/ENSG00000170571/ENSG00000172020/ENSG00000172037/ENSG00000176165/ENSG00000178235/ENSG00000179242/ENSG00000184349/ENSG00000187094/ENSG00000197555/ENSG00000277586",42,1
"GO:0007411","GO:0007411","axon guidance",0.04,"236/20772",5.39105799758474e-08,8.43880278555264e-05,7.73853272565585e-05,"ENSG00000001617/ENSG00000007372/ENSG00000074047/ENSG00000104290/ENSG00000106571/ENSG00000106689/ENSG00000116106/ENSG00000118263/ENSG00000128610/ENSG00000129116/ENSG00000134250/ENSG00000143013/ENSG00000144857/ENSG00000148704/ENSG00000149658/ENSG00000153404/ENSG00000165588/ENSG00000167680/ENSG00000170340/ENSG00000170571/ENSG00000172020/ENSG00000172037/ENSG00000176165/ENSG00000179242/ENSG00000184349",25,18
"GO:0097485","GO:0097485","neuron projection guidance",0.04,"236/20772",5.39105799758474e-08,8.43880278555264e-05,7.73853272565585e-05,"ENSG00000001617/ENSG00000007372/ENSG00000074047/ENSG00000104290/ENSG00000106571/ENSG00000106689/ENSG00000116106/ENSG00000118263/ENSG00000128610/ENSG00000129116/ENSG00000134250/ENSG00000143013/ENSG00000144857/ENSG00000148704/ENSG00000149658/ENSG00000153404/ENSG00000165588/ENSG00000167680/ENSG00000170340/ENSG00000170571/ENSG00000172020/ENSG00000172037/ENSG00000176165/ENSG00000179242/ENSG00000184349",25,19
"GO:0007389","GO:0007389","pattern specification process",0.0576,"495/20772",1.11130406139472e-06,0.0013046709680774,0.00119640655662258,"ENSG00000001617/ENSG00000007372/ENSG00000064309/ENSG00000074047/ENSG00000099139/ENSG00000105877/ENSG00000106003/ENSG00000106571/ENSG00000106689/ENSG00000110195/ENSG00000112658/ENSG00000114315/ENSG00000116035/ENSG00000118058/ENSG00000123095/ENSG00000128610/ENSG00000131668/ENSG00000134138/ENSG00000134250/ENSG00000138685/ENSG00000138771/ENSG00000139174/ENSG00000152977/ENSG00000156925/ENSG00000158163/ENSG00000159388/ENSG00000159792/ENSG00000164056/ENSG00000164651/ENSG00000165588/ENSG00000175197/ENSG00000176165/ENSG00000178585/ENSG00000182968/ENSG00000183145/ENSG00000198363",36,2
"GO:2000177","GO:2000177","regulation of neural precursor cell proliferation",0.0208,"91/20772",3.25732733001702e-06,0.00293051792206277,0.00268733722298009,"ENSG00000007372/ENSG00000064309/ENSG00000080166/ENSG00000104290/ENSG00000106571/ENSG00000106689/ENSG00000115738/ENSG00000138685/ENSG00000138798/ENSG00000148704/ENSG00000159388/ENSG00000176165/ENSG00000184524",13,222
"GO:0090596","GO:0090596","sensory organ morphogenesis",0.04,"296/20772",3.78025133641384e-06,0.00293051792206277,0.00268733722298009,"ENSG00000007372/ENSG00000060718/ENSG00000064309/ENSG00000100625/ENSG00000101384/ENSG00000104290/ENSG00000106571/ENSG00000111678/ENSG00000112320/ENSG00000112893/ENSG00000116035/ENSG00000116039/ENSG00000120756/ENSG00000134250/ENSG00000138685/ENSG00000138829/ENSG00000144749/ENSG00000152977/ENSG00000156925/ENSG00000176165/ENSG00000179431/ENSG00000182968/ENSG00000186480/ENSG00000197406/ENSG00000198707",25,20
"GO:0001654","GO:0001654","eye development",0.0496,"419/20772",4.36831887871367e-06,0.00293051792206277,0.00268733722298009,"ENSG00000007372/ENSG00000064309/ENSG00000070961/ENSG00000101384/ENSG00000106571/ENSG00000106689/ENSG00000111186/ENSG00000111678/ENSG00000112658/ENSG00000112893/ENSG00000114315/ENSG00000116035/ENSG00000125952/ENSG00000134138/ENSG00000134250/ENSG00000136826/ENSG00000138685/ENSG00000138829/ENSG00000139174/ENSG00000148704/ENSG00000153208/ENSG00000164056/ENSG00000172037/ENSG00000179431/ENSG00000181449/ENSG00000182968/ENSG00000188766/ENSG00000197406/ENSG00000198369/ENSG00000198707/ENSG00000198732",31,4
"GO:0150063","GO:0150063","visual system development",0.0496,"423/20772",5.29725168851407e-06,0.00310948674115776,0.00285145482338304,"ENSG00000007372/ENSG00000064309/ENSG00000070961/ENSG00000101384/ENSG00000106571/ENSG00000106689/ENSG00000111186/ENSG00000111678/ENSG00000112658/ENSG00000112893/ENSG00000114315/ENSG00000116035/ENSG00000125952/ENSG00000134138/ENSG00000134250/ENSG00000136826/ENSG00000138685/ENSG00000138829/ENSG00000139174/ENSG00000148704/ENSG00000153208/ENSG00000164056/ENSG00000172037/ENSG00000179431/ENSG00000181449/ENSG00000182968/ENSG00000188766/ENSG00000197406/ENSG00000198369/ENSG00000198707/ENSG00000198732",31,5
"GO:1902692","GO:1902692","regulation of neuroblast proliferation",0.0144,"45/20772",6.41903849292995e-06,0.00334873516640341,0.00307084989817905,"ENSG00000007372/ENSG00000064309/ENSG00000080166/ENSG00000104290/ENSG00000106571/ENSG00000138685/ENSG00000148704/ENSG00000159388/ENSG00000176165",9,498
"GO:0043010","GO:0043010","camera-type eye development",0.0448,"367/20772",7.1310374071623e-06,0.00334873516640341,0.00307084989817905,"ENSG00000007372/ENSG00000064309/ENSG00000070961/ENSG00000101384/ENSG00000106571/ENSG00000106689/ENSG00000111186/ENSG00000111678/ENSG00000112658/ENSG00000112893/ENSG00000114315/ENSG00000116035/ENSG00000125952/ENSG00000134250/ENSG00000136826/ENSG00000138685/ENSG00000138829/ENSG00000139174/ENSG00000148704/ENSG00000153208/ENSG00000164056/ENSG00000172037/ENSG00000179431/ENSG00000182968/ENSG00000188766/ENSG00000197406/ENSG00000198369/ENSG00000198707",28,12
"GO:0030900","GO:0030900","forebrain development",0.0496,"434/20772",8.86613903498347e-06,0.00370706024442919,0.00339944038822734,"ENSG00000007372/ENSG00000013810/ENSG00000018625/ENSG00000064309/ENSG00000074047/ENSG00000080166/ENSG00000106571/ENSG00000106689/ENSG00000111678/ENSG00000112658/ENSG00000114315/ENSG00000115738/ENSG00000116035/ENSG00000116750/ENSG00000128610/ENSG00000138685/ENSG00000138772/ENSG00000149571/ENSG00000152977/ENSG00000156925/ENSG00000159388/ENSG00000165588/ENSG00000166579/ENSG00000167680/ENSG00000173376/ENSG00000174469/ENSG00000176165/ENSG00000181449/ENSG00000182968/ENSG00000198121/ENSG00000277586",31,6
"GO:0048880","GO:0048880","sensory system development",0.0496,"436/20772",9.71391221191854e-06,0.00370706024442919,0.00339944038822734,"ENSG00000007372/ENSG00000064309/ENSG00000070961/ENSG00000101384/ENSG00000106571/ENSG00000106689/ENSG00000111186/ENSG00000111678/ENSG00000112658/ENSG00000112893/ENSG00000114315/ENSG00000116035/ENSG00000125952/ENSG00000134138/ENSG00000134250/ENSG00000136826/ENSG00000138685/ENSG00000138829/ENSG00000139174/ENSG00000148704/ENSG00000153208/ENSG00000164056/ENSG00000172037/ENSG00000179431/ENSG00000181449/ENSG00000182968/ENSG00000188766/ENSG00000197406/ENSG00000198369/ENSG00000198707/ENSG00000198732",31,7
"GO:0050767","GO:0050767","regulation of neurogenesis",0.048,"416/20772",1.02623047652427e-05,0.00370706024442919,0.00339944038822734,"ENSG00000001617/ENSG00000007372/ENSG00000018189/ENSG00000064309/ENSG00000080166/ENSG00000104290/ENSG00000106571/ENSG00000106689/ENSG00000112658/ENSG00000112893/ENSG00000114315/ENSG00000115738/ENSG00000116106/ENSG00000123095/ENSG00000125968/ENSG00000128610/ENSG00000130164/ENSG00000134259/ENSG00000138685/ENSG00000148704/ENSG00000154645/ENSG00000156299/ENSG00000159388/ENSG00000167680/ENSG00000176165/ENSG00000178235/ENSG00000179242/ENSG00000184349/ENSG00000197747/ENSG00000277586",30,10
"GO:0060537","GO:0060537","muscle tissue development",0.0496,"445/20772",1.45261205148747e-05,0.0048724758527037,0.00446814729521448,"ENSG00000060138/ENSG00000060718/ENSG00000064309/ENSG00000065534/ENSG00000078114/ENSG00000096696/ENSG00000100625/ENSG00000102554/ENSG00000109819/ENSG00000112658/ENSG00000115738/ENSG00000120738/ENSG00000124641/ENSG00000134250/ENSG00000138685/ENSG00000139174/ENSG00000140416/ENSG00000148704/ENSG00000152413/ENSG00000152661/ENSG00000156925/ENSG00000157168/ENSG00000159251/ENSG00000159388/ENSG00000170345/ENSG00000171100/ENSG00000180209/ENSG00000185022/ENSG00000187957/ENSG00000198947/ENSG00000248746",31,8
"GO:0003002","GO:0003002","regionalization",0.0496,"450/20772",1.80582719987844e-05,0.00538192170788835,0.00493531823432513,"ENSG00000001617/ENSG00000007372/ENSG00000064309/ENSG00000074047/ENSG00000099139/ENSG00000105877/ENSG00000106003/ENSG00000106571/ENSG00000106689/ENSG00000110195/ENSG00000112658/ENSG00000114315/ENSG00000116035/ENSG00000118058/ENSG00000123095/ENSG00000128610/ENSG00000131668/ENSG00000134250/ENSG00000138685/ENSG00000139174/ENSG00000156925/ENSG00000158163/ENSG00000159388/ENSG00000159792/ENSG00000164056/ENSG00000164651/ENSG00000165588/ENSG00000175197/ENSG00000176165/ENSG00000178585/ENSG00000182968",31,9
"GO:0002052","GO:0002052","positive regulation of neuroblast proliferation",0.0112,"29/20772",1.89191450130114e-05,0.00538192170788835,0.00493531823432513,"ENSG00000007372/ENSG00000064309/ENSG00000080166/ENSG00000104290/ENSG00000106571/ENSG00000138685/ENSG00000176165",7,714
"GO:0007517","GO:0007517","muscle organ development",0.0432,"367/20772",1.98596670727078e-05,0.00538192170788835,0.00493531823432513,"ENSG00000060138/ENSG00000060718/ENSG00000064309/ENSG00000065534/ENSG00000096696/ENSG00000100219/ENSG00000100625/ENSG00000102554/ENSG00000120738/ENSG00000124641/ENSG00000127990/ENSG00000140416/ENSG00000148704/ENSG00000152413/ENSG00000154645/ENSG00000157168/ENSG00000159251/ENSG00000159388/ENSG00000163935/ENSG00000170345/ENSG00000171100/ENSG00000180209/ENSG00000183386/ENSG00000185022/ENSG00000187957/ENSG00000198947/ENSG00000248746",27,15
"GO:0010720","GO:0010720","positive regulation of cell development",0.0528,"497/20772",2.06291717934392e-05,0.00538192170788835,0.00493531823432513,"ENSG00000007372/ENSG00000010610/ENSG00000018189/ENSG00000064309/ENSG00000074047/ENSG00000080166/ENSG00000100078/ENSG00000100219/ENSG00000104290/ENSG00000106571/ENSG00000112658/ENSG00000112893/ENSG00000114315/ENSG00000115738/ENSG00000116106/ENSG00000118689/ENSG00000134250/ENSG00000134259/ENSG00000138685/ENSG00000154645/ENSG00000156299/ENSG00000168961/ENSG00000170345/ENSG00000172175/ENSG00000173334/ENSG00000176165/ENSG00000178235/ENSG00000178585/ENSG00000179242/ENSG00000183087/ENSG00000184349/ENSG00000248746/ENSG00000277586",33,3
"GO:0150115","GO:0150115","cell-substrate junction organization",0.0208,"110/20772",2.67384182316978e-05,0.00660861115873964,0.00606021434824797,"ENSG00000035403/ENSG00000073712/ENSG00000087077/ENSG00000108861/ENSG00000135862/ENSG00000139174/ENSG00000140937/ENSG00000156232/ENSG00000161638/ENSG00000167657/ENSG00000184349/ENSG00000197747/ENSG00000248746",13,223
"GO:2000179","GO:2000179","positive regulation of neural precursor cell proliferation",0.0144,"55/20772",3.52381399418996e-05,0.00827391525835802,0.00758732792117428,"ENSG00000007372/ENSG00000064309/ENSG00000080166/ENSG00000104290/ENSG00000106571/ENSG00000106689/ENSG00000138685/ENSG00000138798/ENSG00000176165",9,499
"GO:0001764","GO:0001764","neuron migration",0.0272,"183/20772",4.02992497956297e-05,0.00895714065978199,0.0082138578048884,"ENSG00000007372/ENSG00000104290/ENSG00000112658/ENSG00000128610/ENSG00000134369/ENSG00000148704/ENSG00000149571/ENSG00000154447/ENSG00000156687/ENSG00000166579/ENSG00000168209/ENSG00000173376/ENSG00000176165/ENSG00000182968/ENSG00000183087/ENSG00000187094/ENSG00000187957",17,117
"GO:0043583","GO:0043583","ear development",0.032,"240/20772",4.1962754368655e-05,0.00895714065978199,0.0082138578048884,"ENSG00000060718/ENSG00000100625/ENSG00000101384/ENSG00000104290/ENSG00000106571/ENSG00000112320/ENSG00000114315/ENSG00000116039/ENSG00000116106/ENSG00000120756/ENSG00000138685/ENSG00000144749/ENSG00000152977/ENSG00000153094/ENSG00000156925/ENSG00000176165/ENSG00000181449/ENSG00000186297/ENSG00000186480/ENSG00000198707",20,49
