"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
"GO:0060271","GO:0060271","cilium assembly",0.0614754098360656,"381/20772",1.32175824258773e-16,7.0476149494778e-13,6.15243678812944e-13,"ENSG00000010322/ENSG00000018408/ENSG00000039139/ENSG00000068885/ENSG00000088986/ENSG00000101222/ENSG00000101350/ENSG00000104450/ENSG00000106477/ENSG00000111834/ENSG00000112981/ENSG00000113971/ENSG00000114446/ENSG00000114473/ENSG00000118690/ENSG00000118965/ENSG00000118997/ENSG00000119661/ENSG00000122417/ENSG00000122545/ENSG00000124074/ENSG00000126870/ENSG00000127328/ENSG00000128581/ENSG00000129295/ENSG00000135315/ENSG00000138587/ENSG00000139174/ENSG00000143951/ENSG00000152582/ENSG00000152763/ENSG00000154099/ENSG00000155530/ENSG00000155761/ENSG00000157796/ENSG00000158716/ENSG00000159720/ENSG00000160188/ENSG00000160345/ENSG00000162643/ENSG00000162975/ENSG00000163075/ENSG00000163482/ENSG00000164953/ENSG00000166454/ENSG00000170264/ENSG00000173013/ENSG00000174799/ENSG00000176155/ENSG00000183644/ENSG00000183833/ENSG00000187240/ENSG00000188596/ENSG00000188738/ENSG00000196659/ENSG00000197603/ENSG00000197702/ENSG00000197748/ENSG00000204852/ENSG00000206530",60,2
"GO:0044782","GO:0044782","cilium organization",0.0635245901639344,"410/20772",2.97851363021132e-16,7.94071733814338e-13,6.93209856462866e-13,"ENSG00000010322/ENSG00000018408/ENSG00000039139/ENSG00000068885/ENSG00000088986/ENSG00000101222/ENSG00000101350/ENSG00000104450/ENSG00000106477/ENSG00000111834/ENSG00000112981/ENSG00000113971/ENSG00000114446/ENSG00000114473/ENSG00000118690/ENSG00000118762/ENSG00000118965/ENSG00000118997/ENSG00000119661/ENSG00000122417/ENSG00000122545/ENSG00000124074/ENSG00000126870/ENSG00000127328/ENSG00000128581/ENSG00000129295/ENSG00000135315/ENSG00000138587/ENSG00000139174/ENSG00000143951/ENSG00000152582/ENSG00000152763/ENSG00000154099/ENSG00000155530/ENSG00000155761/ENSG00000157796/ENSG00000158716/ENSG00000159720/ENSG00000160188/ENSG00000160345/ENSG00000162643/ENSG00000162975/ENSG00000163075/ENSG00000163482/ENSG00000164953/ENSG00000166454/ENSG00000170264/ENSG00000173013/ENSG00000174799/ENSG00000176155/ENSG00000183644/ENSG00000183833/ENSG00000187240/ENSG00000188596/ENSG00000188738/ENSG00000196659/ENSG00000197557/ENSG00000197603/ENSG00000197702/ENSG00000197748/ENSG00000204852/ENSG00000206530",62,1
"GO:0035082","GO:0035082","axoneme assembly",0.0256147540983607,"95/20772",1.11427496670122e-12,1.98043804081698e-09,1.72888557991327e-09,"ENSG00000010322/ENSG00000039139/ENSG00000101222/ENSG00000104450/ENSG00000111834/ENSG00000114473/ENSG00000118690/ENSG00000118997/ENSG00000119661/ENSG00000129295/ENSG00000138587/ENSG00000152582/ENSG00000152763/ENSG00000154099/ENSG00000155530/ENSG00000155761/ENSG00000160188/ENSG00000160345/ENSG00000162643/ENSG00000163482/ENSG00000183644/ENSG00000183833/ENSG00000188738/ENSG00000197748/ENSG00000206530",25,129
"GO:0007018","GO:0007018","microtubule-based movement",0.0573770491803279,"437/20772",9.01452645842889e-12,1.20163637690857e-08,1.04900621050454e-08,"ENSG00000007174/ENSG00000039139/ENSG00000058668/ENSG00000068885/ENSG00000088986/ENSG00000100644/ENSG00000101222/ENSG00000101350/ENSG00000104133/ENSG00000107863/ENSG00000111834/ENSG00000112981/ENSG00000113971/ENSG00000114446/ENSG00000114473/ENSG00000115423/ENSG00000115993/ENSG00000118690/ENSG00000118965/ENSG00000118997/ENSG00000126870/ENSG00000128581/ENSG00000129295/ENSG00000131697/ENSG00000131711/ENSG00000132842/ENSG00000138587/ENSG00000139116/ENSG00000143951/ENSG00000147642/ENSG00000151023/ENSG00000152582/ENSG00000152760/ENSG00000152763/ENSG00000153187/ENSG00000154099/ENSG00000155761/ENSG00000157796/ENSG00000160345/ENSG00000162643/ENSG00000163075/ENSG00000163482/ENSG00000164627/ENSG00000166171/ENSG00000167552/ENSG00000168589/ENSG00000183644/ENSG00000183833/ENSG00000185896/ENSG00000187240/ENSG00000188596/ENSG00000188738/ENSG00000196659/ENSG00000197557/ENSG00000197748/ENSG00000206530",56,4
"GO:0010975","GO:0010975","regulation of neuron projection development",0.0594262295081967,"480/20772",4.19172639629379e-11,4.4700570290077e-08,3.90227665777077e-08,"ENSG00000003402/ENSG00000004139/ENSG00000005810/ENSG00000007944/ENSG00000030582/ENSG00000044524/ENSG00000049759/ENSG00000065320/ENSG00000072832/ENSG00000075223/ENSG00000076356/ENSG00000091129/ENSG00000092421/ENSG00000100503/ENSG00000102383/ENSG00000105894/ENSG00000106078/ENSG00000107263/ENSG00000108947/ENSG00000113273/ENSG00000114251/ENSG00000114554/ENSG00000115310/ENSG00000116741/ENSG00000131711/ENSG00000132932/ENSG00000133104/ENSG00000133216/ENSG00000134259/ENSG00000134313/ENSG00000134569/ENSG00000136040/ENSG00000137817/ENSG00000138411/ENSG00000138814/ENSG00000140443/ENSG00000150764/ENSG00000151490/ENSG00000152377/ENSG00000154310/ENSG00000156642/ENSG00000163110/ENSG00000165323/ENSG00000165699/ENSG00000168038/ENSG00000169242/ENSG00000169439/ENSG00000172197/ENSG00000174804/ENSG00000177169/ENSG00000182580/ENSG00000185924/ENSG00000187323/ENSG00000188906/ENSG00000197959/ENSG00000198799/ENSG00000204217/ENSG00000221866",58,3
"GO:0001578","GO:0001578","microtubule bundle formation",0.0266393442622951,"124/20772",1.03029921195423e-10,9.1559256635666e-08,7.9929528337923e-08,"ENSG00000010322/ENSG00000039139/ENSG00000101222/ENSG00000104450/ENSG00000111834/ENSG00000114473/ENSG00000118690/ENSG00000118997/ENSG00000119661/ENSG00000129295/ENSG00000131711/ENSG00000138587/ENSG00000152582/ENSG00000152763/ENSG00000154099/ENSG00000155530/ENSG00000155761/ENSG00000160188/ENSG00000160345/ENSG00000162643/ENSG00000163482/ENSG00000183644/ENSG00000183833/ENSG00000188738/ENSG00000197748/ENSG00000206530",26,115
"GO:0007409","GO:0007409","axonogenesis",0.0563524590163934,"456/20772",1.44721733369331e-10,1.05137466531234e-07,9.17830530661182e-08,"ENSG00000003393/ENSG00000004848/ENSG00000005810/ENSG00000044524/ENSG00000065320/ENSG00000075223/ENSG00000076356/ENSG00000091129/ENSG00000092421/ENSG00000100503/ENSG00000101856/ENSG00000104133/ENSG00000106078/ENSG00000108947/ENSG00000114251/ENSG00000114554/ENSG00000115310/ENSG00000117298/ENSG00000117632/ENSG00000118260/ENSG00000121871/ENSG00000124205/ENSG00000131711/ENSG00000132932/ENSG00000133104/ENSG00000133216/ENSG00000134250/ENSG00000134259/ENSG00000134569/ENSG00000136040/ENSG00000139174/ENSG00000140443/ENSG00000141736/ENSG00000144771/ENSG00000150764/ENSG00000151490/ENSG00000152192/ENSG00000154928/ENSG00000158321/ENSG00000162614/ENSG00000164690/ENSG00000169242/ENSG00000171246/ENSG00000172037/ENSG00000173402/ENSG00000174684/ENSG00000177169/ENSG00000182168/ENSG00000182580/ENSG00000185070/ENSG00000187323/ENSG00000196470/ENSG00000204217/ENSG00000204852/ENSG00000221866",55,5
"GO:0099111","GO:0099111","microtubule-based transport",0.0358606557377049,"217/20772",1.57745636205902e-10,1.05137466531234e-07,9.17830530661182e-08,"ENSG00000007174/ENSG00000039139/ENSG00000068885/ENSG00000088986/ENSG00000100644/ENSG00000101350/ENSG00000104133/ENSG00000107863/ENSG00000112981/ENSG00000113971/ENSG00000114446/ENSG00000115993/ENSG00000118965/ENSG00000126870/ENSG00000128581/ENSG00000129295/ENSG00000131711/ENSG00000132842/ENSG00000143951/ENSG00000147642/ENSG00000152582/ENSG00000153187/ENSG00000154099/ENSG00000155761/ENSG00000157796/ENSG00000163075/ENSG00000163482/ENSG00000166171/ENSG00000167552/ENSG00000185896/ENSG00000187240/ENSG00000188596/ENSG00000196659/ENSG00000197557/ENSG00000197748",35,42
"GO:0001654","GO:0001654","eye development",0.0522540983606557,"419/20772",4.94841743908325e-10,2.93166242057688e-07,2.55928677375744e-07,"ENSG00000054598/ENSG00000058668/ENSG00000064393/ENSG00000070193/ENSG00000077092/ENSG00000083857/ENSG00000100644/ENSG00000101489/ENSG00000105370/ENSG00000106799/ENSG00000108784/ENSG00000114251/ENSG00000115380/ENSG00000121039/ENSG00000124479/ENSG00000125864/ENSG00000128791/ENSG00000130635/ENSG00000131697/ENSG00000132932/ENSG00000133216/ENSG00000134250/ENSG00000138061/ENSG00000138829/ENSG00000139174/ENSG00000139567/ENSG00000143951/ENSG00000144061/ENSG00000146648/ENSG00000148204/ENSG00000150893/ENSG00000151012/ENSG00000153208/ENSG00000154928/ENSG00000157796/ENSG00000164093/ENSG00000164442/ENSG00000164690/ENSG00000165323/ENSG00000166225/ENSG00000167081/ENSG00000171307/ENSG00000171812/ENSG00000172037/ENSG00000174804/ENSG00000177707/ENSG00000178573/ENSG00000187098/ENSG00000204217/ENSG00000204227/ENSG00000204262",51,10
"GO:0150063","GO:0150063","visual system development",0.0522540983606557,"423/20772",6.919483208325e-10,3.3568485440912e-07,2.93046635250352e-07,"ENSG00000054598/ENSG00000058668/ENSG00000064393/ENSG00000070193/ENSG00000077092/ENSG00000083857/ENSG00000100644/ENSG00000101489/ENSG00000105370/ENSG00000106799/ENSG00000108784/ENSG00000114251/ENSG00000115380/ENSG00000121039/ENSG00000124479/ENSG00000125864/ENSG00000128791/ENSG00000130635/ENSG00000131697/ENSG00000132932/ENSG00000133216/ENSG00000134250/ENSG00000138061/ENSG00000138829/ENSG00000139174/ENSG00000139567/ENSG00000143951/ENSG00000144061/ENSG00000146648/ENSG00000148204/ENSG00000150893/ENSG00000151012/ENSG00000153208/ENSG00000154928/ENSG00000157796/ENSG00000164093/ENSG00000164442/ENSG00000164690/ENSG00000165323/ENSG00000166225/ENSG00000167081/ENSG00000171307/ENSG00000171812/ENSG00000172037/ENSG00000174804/ENSG00000177707/ENSG00000178573/ENSG00000187098/ENSG00000204217/ENSG00000204227/ENSG00000204262",51,11
