"gene1_SHH_corr","gene2_SHH_corr","gene_mouse","gene_SHH_link","name","scRNA","selected","shared name"
"-0.205511865514058","-0.205511865514058","NA","false","XBP1","expressed","false","XBP1"
"-0.136413668232649","-0.136413668232649","NA","false","ME3","expressed","false","ME3"
"-0.111953784736773","-0.111953784736773","NA","false","SLC3A2","expressed","false","SLC3A2"
"-0.150156462326602","-0.150156462326602","NA","false","FDFT1","expressed","false","FDFT1"
"-0.241309174809143","-0.241309174809143","NA","false","VCL","expressed","false","VCL"
"-0.0712522563520117","-0.0712522563520117","tested","false","GJA1","expressed","false","GJA1"
"-0.126281937903493","-0.126281937903493","NA","false","PDLIM3","expressed","false","PDLIM3"
"-0.280251419695225","-0.280251419695225","NA","false","DMD","expressed","false","DMD"
"-0.401604641500033","-0.401604641500033","NA","false","DSP","expressed","false","DSP"
"-0.197110893411986","-0.197110893411986","NA","false","FOXO3","expressed","false","FOXO3"
"-0.3526252084112","-0.3526252084112","NA","false","MYLK","expressed","false","MYLK"
"-0.388576658346598","-0.388576658346598","NA","false","TPM1","expressed","false","TPM1"
"-0.463246748231027","-0.463246748231027","NA","false","GNG11","expressed","false","GNG11"
"-0.391903539182906","-0.391903539182906","NA","false","RGS16","expressed","false","RGS16"
"-0.120569368828833","-0.120569368828833","NA","false","PLK2","expressed","false","PLK2"
"-0.328292680666988","-0.328292680666988","NA","false","SOX2","expressed","false","SOX2"
"-0.259321049343072","-0.259321049343072","NA","false","PRDX6","expressed","false","PRDX6"
"-0.528825391896885","-0.528825391896885","NA","false","BCL2L11","expressed","false","BCL2L11"
"-0.273097556698402","-0.273097556698402","NA","false","TIAM1","expressed","false","TIAM1"
"-0.162904383925206","-0.162904383925206","NA","true","SOX1","expressed","false","SOX1"
"-0.326505843993123","-0.326505843993123","NA","false","GRIA1","expressed","false","GRIA1"
"-1.92842842075983E-4","-1.92842842075983E-4","tested","false","CNTNAP2","expressed","false","CNTNAP2"
"-0.172576723978813","-0.172576723978813","NA","false","JAG1","expressed","false","JAG1"
"-0.144556025288887","-0.144556025288887","NA","false","EGF","expressed","false","EGF"
"-0.1735233967266","-0.1735233967266","NA","false","NAV1","expressed","false","NAV1"
"-0.242276682199537","-0.242276682199537","NA","false","LGALS1","expressed","false","LGALS1"
"-0.183061250762565","-0.183061250762565","NA","false","LGALS3","expressed","false","LGALS3"
"-0.33776188014671","-0.33776188014671","NA","false","GADD45A","expressed","false","GADD45A"
"-0.242519199652834","-0.242519199652834","NA","true","VAX1","expressed","false","VAX1"
"-0.180122912517595","-0.180122912517595","NA","false","CUL4B","expressed","false","CUL4B"
"-0.313023998322185","-0.313023998322185","NA","false","SMC5","expressed","false","SMC5"
"-0.528029401945661","-0.528029401945661","NA","false","BEGAIN","expressed","false","BEGAIN"
"-0.276172360300797","-0.276172360300797","NA","false","ARL4C","expressed","false","ARL4C"
"-0.221109930497087","-0.221109930497087","NA","false","ATL2","expressed","false","ATL2"
"-0.473481314031624","-0.473481314031624","NA","false","NLGN1","expressed","false","NLGN1"
"-0.14710603508079","-0.14710603508079","NA","false","ATP2B1","expressed","false","ATP2B1"
"-0.172523348908489","-0.172523348908489","NA","false","MAN2A1","expressed","false","MAN2A1"
"1.0","1.0","SHH","false","SHH","expressed","false","SHH"
"-0.301274353841572","-0.301274353841572","NA","false","BCAT1","expressed","false","BCAT1"
"-0.222255776696621","-0.222255776696621","NA","false","DIO3","expressed","false","DIO3"
"-0.457158173567558","-0.457158173567558","NA","false","RTL1","expressed","false","RTL1"
"-0.176847652444203","-0.176847652444203","NA","false","RAB1A","expressed","false","RAB1A"
"-0.324307796664263","-0.324307796664263","NA","false","CDH11","expressed","false","CDH11"
"-0.335387236732192","-0.335387236732192","NA","false","FBN2","expressed","false","FBN2"
"-0.5085539937859","-0.5085539937859","NA","false","COL11A1","expressed","false","COL11A1"
"-0.348890703346185","-0.348890703346185","NA","false","GLI2","expressed","false","GLI2"
"-0.41449141996815","-0.41449141996815","NA","false","GLI3","expressed","false","GLI3"
"-0.211088642829126","-0.211088642829126","NA","false","BTG3","expressed","false","BTG3"
"-0.141785737232126","-0.141785737232126","NA","false","LRIG1","expressed","false","LRIG1"
"-0.582000411044313","-0.582000411044313","NA","false","PCSK5","expressed","false","PCSK5"
"-0.125709920620042","-0.125709920620042","NA","false","TMSB10","expressed","false","TMSB10"
"-0.132580185540717","-0.132580185540717","NA","false","ID2","expressed","false","ID2"
"-0.324386389073032","-0.324386389073032","NA","false","LAMC1","expressed","false","LAMC1"
"-0.618482177696283","-0.618482177696283","NA","false","FJX1","expressed","false","FJX1"
"-0.181493603710968","-0.181493603710968","NA","false","PRICKLE1","expressed","false","PRICKLE1"
"-0.132269479655122","-0.132269479655122","NA","false","PAX6","expressed","false","PAX6"
"-0.383372880062472","-0.383372880062472","NA","false","CREB5","expressed","false","CREB5"
"-0.381652001828536","-0.381652001828536","NA","false","LAMP5","expressed","false","LAMP5"
"-0.225053380149574","-0.225053380149574","NA","false","CRTAP","expressed","false","CRTAP"
"-0.183592493184155","-0.183592493184155","NA","false","COLGALT2","expressed","false","COLGALT2"
"-0.233286752429632","-0.233286752429632","NA","false","COL25A1","expressed","false","COL25A1"
"-0.242525659348949","-0.242525659348949","NA","false","CTNNBIP1","expressed","false","CTNNBIP1"
"-0.646866189374333","-0.646866189374333","NA","false","LHX2","expressed","false","LHX2"
"-0.153192471027108","-0.153192471027108","NA","false","FOXG1","expressed","false","FOXG1"
"-0.133505740143378","-0.133505740143378","NA","false","RAB11FIP1","expressed","false","RAB11FIP1"
"-0.215100304702379","-0.215100304702379","NA","true","SP8","expressed","false","SP8"
"-0.116466961390566","-0.116466961390566","NA","false","KRT17","expressed","false","KRT17"
"-0.193486703624052","-0.193486703624052","NA","false","DUSP4","expressed","false","DUSP4"
"-0.16207318199978","-0.16207318199978","tested","false","EPHA4","expressed","false","EPHA4"
"-0.174683700270885","-0.174683700270885","NA","false","OTX2","expressed","false","OTX2"
"-0.571965383598493","-0.571965383598493","NA","false","TNC","expressed","false","TNC"
"-0.779702505063087","-0.779702505063087","NA","false","SPRY1","expressed","false","SPRY1"
"-0.196903112663474","-0.196903112663474","NA","false","VGF","expressed","false","VGF"
"-0.232583794439242","-0.232583794439242","NA","false","ENC1","expressed","false","ENC1"
"-0.401987760066777","-0.401987760066777","NA","false","FEZF1","expressed","false","FEZF1"
"-0.451235793191611","-0.451235793191611","NA","false","ZNF385B","expressed","false","ZNF385B"
"-0.636739558002886","-0.636739558002886","NA","false","LPAR1","expressed","false","LPAR1"
"-0.328459696020296","-0.328459696020296","NA","false","PRDM16","expressed","false","PRDM16"
"-0.776033231194988","-0.776033231194988","NA","false","IRS2","expressed","false","IRS2"
"-0.456646223108817","-0.456646223108817","NA","true","WNT5B","expressed","false","WNT5B"
"-0.320119502064726","-0.320119502064726","NA","false","ZNF521","expressed","false","ZNF521"
"-0.724398421265092","-0.724398421265092","NA","false","SMOC1","expressed","false","SMOC1"
"-0.292652388463442","-0.292652388463442","NA","false","ZFPL1","expressed","false","ZFPL1"
"-0.311065749609714","-0.311065749609714","NA","false","SURF4","expressed","false","SURF4"
"-0.125509006338346","-0.125509006338346","NA","false","PALLD","expressed","false","PALLD"
"-0.222792384851495","-0.222792384851495","NA","false","HPSE2","expressed","false","HPSE2"
"-0.148506415673384","-0.148506415673384","NA","false","HS3ST3B1","expressed","false","HS3ST3B1"
"-0.197762131562361","-0.197762131562361","NA","false","HS6ST2","expressed","false","HS6ST2"
"-0.140542126133242","-0.140542126133242","NA","false","IRS4","expressed","false","IRS4"
"-0.0451304346762157","-0.0451304346762157","tested","false","ZFHX4","expressed","false","ZFHX4"
"-0.224822485024558","-0.224822485024558","NA","false","LARP1B","expressed","false","LARP1B"
"-0.135344790745557","-0.135344790745557","NA","false","PTPRG","expressed","false","PTPRG"
"-0.298951657613045","-0.298951657613045","NA","false","MRPS6","expressed","false","MRPS6"
"-0.0492744996973694","-0.0492744996973694","tested","false","NUAK2","expressed","false","NUAK2"
"-0.149396295043709","-0.149396295043709","NA","false","SORCS1","expressed","false","SORCS1"
"-0.653486521066101","-0.653486521066101","tested","false","ZIC5","expressed","false","ZIC5"
"-0.203969232727088","-0.203969232727088","NA","false","VAT1L","expressed","false","VAT1L"
"-0.507503541654668","-0.507503541654668","NA","false","PRSS23","expressed","false","PRSS23"
"-0.192922783901052","-0.192922783901052","NA","false","PDP1","expressed","false","PDP1"
"-0.450913775992779","-0.450913775992779","NA","false","PLEKHA1","expressed","false","PLEKHA1"
"-0.275680071818913","-0.275680071818913","NA","false","RASGEF1B","expressed","false","RASGEF1B"
"-0.369039767888272","-0.369039767888272","NA","false","RHOU","expressed","false","RHOU"
"-0.169762755837867","-0.169762755837867","NA","false","RIPPLY3","expressed","false","RIPPLY3"
"-0.0134615087715024","-0.0134615087715024","tested","false","SHROOM3","expressed","false","SHROOM3"
"-0.652169512330916","-0.652169512330916","NA","false","TMEM132B","expressed","false","TMEM132B"
"-0.203829796091483","-0.203829796091483","NA","false","TPBG","expressed","false","TPBG"
