"","Figure4B"
"ENSG00000000003","Cluster 1"
"ENSG00000001617","Cluster 2"
"ENSG00000002834","Cluster 1"
"ENSG00000003989","Cluster 1"
"ENSG00000004468","Cluster 2"
"ENSG00000004838","Cluster 1"
"ENSG00000005156","Cluster 2"
"ENSG00000006042","Cluster 1"
"ENSG00000006453","Cluster 2"
"ENSG00000006634","Cluster 2"
"ENSG00000006638","Cluster 1"
"ENSG00000006715","Cluster 1"
"ENSG00000007350","Cluster 2"
"ENSG00000007372","Cluster 2"
"ENSG00000007944","Cluster 2"
"ENSG00000007952","Cluster 1"
"ENSG00000007968","Cluster 1"
"ENSG00000008226","Cluster 1"
"ENSG00000009413","Cluster 2"
"ENSG00000009844","Cluster 1"
"ENSG00000010292","Cluster 2"
"ENSG00000010610","Cluster 2"
"ENSG00000011009","Cluster 1"
"ENSG00000011021","Cluster 2"
"ENSG00000011028","Cluster 1"
"ENSG00000013810","Cluster 2"
"ENSG00000015592","Cluster 2"
"ENSG00000018189","Cluster 2"
"ENSG00000018236","Cluster 1"
"ENSG00000018625","Cluster 2"
"ENSG00000019995","Cluster 2"
"ENSG00000020577","Cluster 2"
"ENSG00000023608","Cluster 2"
"ENSG00000023902","Cluster 1"
"ENSG00000025039","Cluster 1"
"ENSG00000025708","Cluster 1"
"ENSG00000026297","Cluster 1"
"ENSG00000028528","Cluster 1"
"ENSG00000029534","Cluster 2"
"ENSG00000031823","Cluster 1"
"ENSG00000032742","Cluster 1"
"ENSG00000034239","Cluster 1"
"ENSG00000034510","Cluster 2"
"ENSG00000035403","Cluster 2"
"ENSG00000038002","Cluster 1"
"ENSG00000040341","Cluster 1"
"ENSG00000040731","Cluster 1"
"ENSG00000041982","Cluster 2"
"ENSG00000043355","Cluster 2"
"ENSG00000044524","Cluster 1"
"ENSG00000046653","Cluster 1"
"ENSG00000047365","Cluster 2"
"ENSG00000047662","Cluster 2"
"ENSG00000050165","Cluster 1"
"ENSG00000050405","Cluster 2"
"ENSG00000050767","Cluster 1"
"ENSG00000051108","Cluster 2"
"ENSG00000053524","Cluster 2"
"ENSG00000054267","Cluster 2"
"ENSG00000054690","Cluster 1"
"ENSG00000055609","Cluster 2"
"ENSG00000057608","Cluster 1"
"ENSG00000058262","Cluster 2"
"ENSG00000058404","Cluster 1"
"ENSG00000058668","Cluster 1"
"ENSG00000059691","Cluster 1"
"ENSG00000060138","Cluster 2"
"ENSG00000060339","Cluster 2"
"ENSG00000060718","Cluster 2"
"ENSG00000060982","Cluster 2"
"ENSG00000061918","Cluster 2"
"ENSG00000064270","Cluster 1"
"ENSG00000064309","Cluster 2"
"ENSG00000065357","Cluster 2"
"ENSG00000065534","Cluster 2"
"ENSG00000065548","Cluster 2"
"ENSG00000065717","Cluster 1"
"ENSG00000066933","Cluster 2"
"ENSG00000067057","Cluster 2"
"ENSG00000067064","Cluster 2"
"ENSG00000067182","Cluster 2"
"ENSG00000068078","Cluster 1"
"ENSG00000068323","Cluster 2"
"ENSG00000068366","Cluster 2"
"ENSG00000068489","Cluster 2"
"ENSG00000069667","Cluster 1"
"ENSG00000069849","Cluster 2"
"ENSG00000069966","Cluster 2"
"ENSG00000070961","Cluster 2"
"ENSG00000072042","Cluster 2"
"ENSG00000072133","Cluster 1"
"ENSG00000072571","Cluster 2"
"ENSG00000073067","Cluster 2"
"ENSG00000073712","Cluster 2"
"ENSG00000074047","Cluster 2"
"ENSG00000075043","Cluster 1"
"ENSG00000075275","Cluster 1"
"ENSG00000075426","Cluster 2"
"ENSG00000076003","Cluster 1"
"ENSG00000077150","Cluster 2"
"ENSG00000077274","Cluster 1"
"ENSG00000077279","Cluster 1"
"ENSG00000077616","Cluster 1"
"ENSG00000077942","Cluster 1"
"ENSG00000078053","Cluster 2"
"ENSG00000078114","Cluster 2"
"ENSG00000078549","Cluster 1"
"ENSG00000078687","Cluster 2"
"ENSG00000078795","Cluster 1"
"ENSG00000079112","Cluster 2"
"ENSG00000079156","Cluster 2"
"ENSG00000079308","Cluster 1"
"ENSG00000079459","Cluster 2"
"ENSG00000080166","Cluster 2"
"ENSG00000080561","Cluster 2"
"ENSG00000080644","Cluster 1"
"ENSG00000080709","Cluster 1"
"ENSG00000081138","Cluster 1"
"ENSG00000081692","Cluster 1"
"ENSG00000082497","Cluster 2"
"ENSG00000083720","Cluster 1"
"ENSG00000083838","Cluster 1"
"ENSG00000084234","Cluster 2"
"ENSG00000084734","Cluster 2"
"ENSG00000085117","Cluster 2"
"ENSG00000086062","Cluster 2"
"ENSG00000086712","Cluster 2"
"ENSG00000086717","Cluster 2"
"ENSG00000087077","Cluster 2"
"ENSG00000087263","Cluster 2"
"ENSG00000087495","Cluster 1"
"ENSG00000088280","Cluster 1"
"ENSG00000088727","Cluster 1"
"ENSG00000089101","Cluster 1"
"ENSG00000089351","Cluster 2"
"ENSG00000089847","Cluster 1"
"ENSG00000090006","Cluster 2"
"ENSG00000090530","Cluster 2"
"ENSG00000090539","Cluster 1"
"ENSG00000090581","Cluster 1"
"ENSG00000090861","Cluster 2"
"ENSG00000090932","Cluster 1"
"ENSG00000091127","Cluster 1"
"ENSG00000091137","Cluster 1"
"ENSG00000091164","Cluster 1"
"ENSG00000091527","Cluster 2"
"ENSG00000091844","Cluster 2"
"ENSG00000092068","Cluster 2"
"ENSG00000092108","Cluster 2"
"ENSG00000092140","Cluster 2"
"ENSG00000092850","Cluster 1"
"ENSG00000092964","Cluster 1"
"ENSG00000096696","Cluster 2"
"ENSG00000099139","Cluster 2"
"ENSG00000099338","Cluster 1"
"ENSG00000099715","Cluster 2"
"ENSG00000099725","Cluster 2"
"ENSG00000099812","Cluster 2"
"ENSG00000100078","Cluster 2"
"ENSG00000100097","Cluster 2"
"ENSG00000100105","Cluster 1"
"ENSG00000100167","Cluster 1"
"ENSG00000100191","Cluster 2"
"ENSG00000100219","Cluster 2"
"ENSG00000100276","Cluster 2"
"ENSG00000100320","Cluster 2"
"ENSG00000100354","Cluster 1"
"ENSG00000100364","Cluster 1"
"ENSG00000100427","Cluster 1"
"ENSG00000100504","Cluster 2"
"ENSG00000100522","Cluster 2"
"ENSG00000100599","Cluster 1"
"ENSG00000100614","Cluster 2"
"ENSG00000100625","Cluster 2"
"ENSG00000100664","Cluster 1"
"ENSG00000100767","Cluster 1"
"ENSG00000100823","Cluster 1"
"ENSG00000100867","Cluster 2"
"ENSG00000100934","Cluster 2"
"ENSG00000100991","Cluster 2"
"ENSG00000101182","Cluster 1"
"ENSG00000101220","Cluster 1"
"ENSG00000101255","Cluster 2"
"ENSG00000101384","Cluster 2"
"ENSG00000101463","Cluster 1"
"ENSG00000101665","Cluster 1"
"ENSG00000101670","Cluster 2"
"ENSG00000101825","Cluster 2"
"ENSG00000101843","Cluster 2"
"ENSG00000101856","Cluster 1"
"ENSG00000101955","Cluster 2"
"ENSG00000101986","Cluster 1"
"ENSG00000102034","Cluster 1"
"ENSG00000102119","Cluster 1"
"ENSG00000102290","Cluster 2"
"ENSG00000102317","Cluster 1"
"ENSG00000102401","Cluster 2"
"ENSG00000102547","Cluster 2"
"ENSG00000102554","Cluster 2"
"ENSG00000103005","Cluster 1"
"ENSG00000103042","Cluster 1"
"ENSG00000103145","Cluster 2"
"ENSG00000103154","Cluster 2"
"ENSG00000103160","Cluster 1"
"ENSG00000103196","Cluster 1"
"ENSG00000103449","Cluster 1"
"ENSG00000103460","Cluster 2"
"ENSG00000103942","Cluster 2"
"ENSG00000103966","Cluster 2"
"ENSG00000103994","Cluster 2"
"ENSG00000103995","Cluster 2"
"ENSG00000104112","Cluster 1"
"ENSG00000104267","Cluster 2"
