"","gene","category"
"SHH","SHH","both"
"SLIT1","SLIT1","cyclo"
"SPON1","SPON1","both"
"NTRK2","NTRK2","cyclo"
"RPS6KA6","RPS6KA6","cyclo"
"CNTN6","CNTN6","cyclo"
"NKX2-1","NKX2-1","both"
"MYRF","MYRF","cyclo"
"LINC00261","LINC00261","both"
"KLHL5","KLHL5","cyclo"
"FRZB","FRZB","both"
"CRISPLD1","CRISPLD1","both"
"PODXL","PODXL","cyclo"
"ACKR3","ACKR3","cyclo"
"PPP1R14C","PPP1R14C","cyclo"
"NKX2-1-AS1","NKX2-1-AS1","cyclo"
"LINC03007","LINC03007","cyclo"
"IGDCC3","IGDCC3","cyclo"
"QKI","QKI","cyclo"
"PNRC2","PNRC2","cyclo"
"CAPN6","CAPN6","both"
"FOXA2","FOXA2","both"
"PRTG","PRTG","cyclo"
"NKX2-2","NKX2-2","both"
"PDZRN3","PDZRN3","cyclo"
"GRIK3","GRIK3","cyclo"
"RGMA","RGMA","both"
"DCX","DCX","both"
"FGFR3","FGFR3","cyclo"
"PTCH1","PTCH1","both"
"EIF5","EIF5","cyclo"
"NKD1","NKD1","cyclo"
"SFRP1","SFRP1","cyclo"
"AFF2","AFF2","cyclo"
"HTR1D","HTR1D","cyclo"
"ANKRD65","ANKRD65","cyclo"
"ZMIZ1","ZMIZ1","cyclo"
"NRBP2","NRBP2","cyclo"
"SSBP3","SSBP3","cyclo"
"SOWAHC","SOWAHC","cyclo"
"SRSF6","SRSF6","cyclo"
"SMIM32","SMIM32","cyclo"
"BMPR2","BMPR2","cyclo"
"NAALAD2","NAALAD2","cyclo"
"NES","NES","cyclo"
"IGF1R","IGF1R","cyclo"
"ATP2C2","ATP2C2","cyclo"
"RORA","RORA","cyclo"
"PLAGL1","PLAGL1","both"
"TMTC2","TMTC2","cyclo"
"MPPED1","MPPED1","both"
"RRAGD","RRAGD","cyclo"
"RNASEH2B","RNASEH2B","cyclo"
"PNMA2","PNMA2","cyclo"
"CYYR1","CYYR1","cyclo"
"NID1","NID1","cyclo"
"RXRA","RXRA","cyclo"
"ZNF594","ZNF594","cyclo"
"DLEU7","DLEU7","cyclo"
"LRP4","LRP4","cyclo"
"RASGRF2","RASGRF2","cyclo"
"FGF12","FGF12","cyclo"
"BAHCC1","BAHCC1","cyclo"
"SPTSSB","SPTSSB","cyclo"
"APC","APC","cyclo"
"EXTL2","EXTL2","cyclo"
"MTTP","MTTP","cyclo"
"TLE2","TLE2","cyclo"
"TET3","TET3","cyclo"
"GPM6B","GPM6B","cyclo"
"TEX15","TEX15","cyclo"
"CCDC170","CCDC170","cyclo"
