"","genes","state"
"1","SKAP2","C_Het_DE"
"2","MCUB","C_Het_DE"
"3","TNFRSF12A","C_Het_DE"
"4","ETV1","C_Het_DE"
"5","NOS2","C_Het_DE"
"6","ST3GAL1","C_Het_DE"
"7","PAX7","C_Het_DE"
"8","STMN4","C_Het_DE"
"9","SNAI2","C_Het_DE"
"10","ANK1","C_Het_DE"
"11","DNAH5","C_Het_DE"
"12","RIPOR3","C_Het_DE"
"13","CAPG","C_Het_DE"
"14","EPHA3","C_Het_DE"
"15","COL9A2","C_Het_DE"
"16","ADAMTS6","C_Het_DE"
"17","LTBP1","common"
"18","NNAT","C_Het_DE"
"19","FOXC1","C_Het_DE"
"20","ITIH4","C_Het_DE"
"21","CDH3","C_Het_DE"
"22","ZNF112","C_Het_DE"
"23","EYA2","common"
"24","NGEF","C_Het_DE"
"25","KIF26A","C_Het_DE"
"26","PFKP","C_Het_DE"
"27","FGFR3","C_Het_DE"
"28","BCL3","C_Het_DE"
"29","PTPN3","C_Het_DE"
"30","MYO3B","C_Het_DE"
"31","SLC6A15","C_Het_DE"
"32","CYP2W1","C_Het_DE"
"33","GSDMB","C_Het_DE"
"34","KCNQ2","C_Het_DE"
"35","ADD2","C_Het_DE"
"36","ADCY2","C_Het_DE"
"37","ITM2A","C_Het_DE"
"38","RUNX1T1","common"
"39","MOXD1","C_Het_DE"
"40","CDH7","C_Het_DE"
"41","SERTAD4","common"
"42","NKAIN1","C_Het_DE"
"43","CD82","C_Het_DE"
"44","MECOM","C_Het_DE"
"45","TESC","C_Het_DE"
"46","LTBP4","C_Het_DE"
"47","DLL3","C_Het_DE"
"48","TF","C_Het_DE"
"49","ANGPT2","C_Het_DE"
"50","JPH4","C_Het_DE"
"51","TGFB2","C_Het_DE"
"52","CRTAC1","C_Het_DE"
"53","CATSPERG","C_Het_DE"
"54","MFNG","C_Het_DE"
"55","CARD10","C_Het_DE"
"56","PLA2G3","C_Het_DE"
"57","SEZ6L","C_Het_DE"
"58","TSPO","C_Het_DE"
"59","KCNK10","C_Het_DE"
"60","ABHD4","C_Het_DE"
"61","PAPLN","C_Het_DE"
"62","SLC17A9","C_Het_DE"
"63","NKAIN4","C_Het_DE"
"64","PPP1R16B","C_Het_DE"
"65","SYNDIG1","C_Het_DE"
"66","FGF9","C_Het_DE"
"67","WFDC1","C_Het_DE"
"68","PRSS33","C_Het_DE"
"69","CORO2B","C_Het_DE"
"70","RASL12","C_Het_DE"
