"","genes","state"
"1","SEMA3F","common"
"2","RAD52","C_Hom_DE"
"3","TMEM176A","C_Hom_DE"
"4","SARM1","C_Hom_DE"
"5","PDK4","C_Hom_DE"
"6","ZMYND10","C_Hom_DE"
"7","ARX","common"
"8","ST7","C_Hom_DE"
"9","THSD7A","common"
"10","ITGA3","C_Hom_DE"
"11","ITGA2B","C_Hom_DE"
"12","TNFRSF12A","C_Hom_DE"
"13","BAIAP2L1","C_Hom_DE"
"14","DNAH9","C_Hom_DE"
"15","MATK","C_Hom_DE"
"16","PAX6","common"
"17","BAIAP3","C_Hom_DE"
"18","TSR3","C_Hom_DE"
"19","E2F2","C_Hom_DE"
"20","DLEC1","C_Hom_DE"
"21","CYB561","C_Hom_DE"
"22","IL32","C_Hom_DE"
"23","MAPK8IP2","C_Hom_DE"
"24","PAX7","C_Hom_DE"
"25","POMT2","C_Hom_DE"
"26","GIPR","C_Hom_DE"
"27","IDS","C_Hom_DE"
"28","BTBD7","C_Hom_DE"
"29","ANOS1","C_Hom_DE"
"30","CALCOCO1","C_Hom_DE"
"31","CLDN11","C_Hom_DE"
"32","MVP","C_Hom_DE"
"33","POLR3B","C_Hom_DE"
"34","MAMLD1","C_Hom_DE"
"35","MTMR11","C_Hom_DE"
"36","ISL1","C_Hom_DE"
"37","CNTN1","C_Hom_DE"
"38","ATP1A2","C_Hom_DE"
"39","SYT13","C_Hom_DE"
"40","CD74","C_Hom_DE"
"41","NRXN3","C_Hom_DE"
"42","RNH1","C_Hom_DE"
"43","SNAPC1","C_Hom_DE"
"44","EHD2","C_Hom_DE"
"45","RRAGD","C_Hom_DE"
"46","CD44","C_Hom_DE"
"47","KCNG1","C_Hom_DE"
"48","MIPEP","C_Hom_DE"
"49","ANK1","C_Hom_DE"
"50","HMGB3","C_Hom_DE"
"51","ARHGAP31","C_Hom_DE"
"52","IFT88","C_Hom_DE"
"53","CHPF2","C_Hom_DE"
"54","SLC4A7","C_Hom_DE"
"55","CLXN","C_Hom_DE"
"56","USP2","C_Hom_DE"
"57","METTL1","C_Hom_DE"
"58","AGA","C_Hom_DE"
"59","PI4K2B","C_Hom_DE"
"60","VCAN","C_Hom_DE"
"61","DNAH5","C_Hom_DE"
"62","ZFYVE16","C_Hom_DE"
"63","MYO16","common"
"64","TNC","common"
"65","AIFM2","C_Hom_DE"
"66","ZIC2","common"
"67","CUL7","C_Hom_DE"
"68","EPHA3","common"
"69","SCML1","C_Hom_DE"
"70","FAM184B","C_Hom_DE"
"71","RRM2B","C_Hom_DE"
"72","LMO3","C_Hom_DE"
"73","GUCA1A","C_Hom_DE"
"74","KITLG","C_Hom_DE"
"75","ERCC8","C_Hom_DE"
"76","TNFRSF9","C_Hom_DE"
"77","LTBP1","common"
"78","DKK3","C_Hom_DE"
"79","RAD51","C_Hom_DE"
"80","CYBA","C_Hom_DE"
"81","PLEKHA5","C_Hom_DE"
"82","FNIP2","C_Hom_DE"
"83","FOXN3","C_Hom_DE"
"84","METTL24","C_Hom_DE"
"85","HHAT","C_Hom_DE"
"86","FOXC1","C_Hom_DE"
"87","KCNH2","C_Hom_DE"
"88","ITIH4","C_Hom_DE"
"89","PRDM1","C_Hom_DE"
"90","MXD1","C_Hom_DE"
"91","SLC2A3","C_Hom_DE"
"92","COL11A1","C_Hom_DE"
"93","BCAT1","C_Hom_DE"
"94","CA11","C_Hom_DE"
"95","ISOC2","C_Hom_DE"
"96","SPA17","C_Hom_DE"
"97","DMRT3","C_Hom_DE"
"98","CDON","common"
"99","SNCAIP","C_Hom_DE"
"100","NTN1","common"
"101","ANKRD44","C_Hom_DE"
"102","MYLK","C_Hom_DE"
"103","SNAP91","C_Hom_DE"
"104","SEC61A2","C_Hom_DE"
"105","PRKCQ","C_Hom_DE"
"106","ME1","C_Hom_DE"
