"","genes","state"
"1","SEMA3F","common"
"2","CFTR","Het_Hom_DE"
"3","RAD52","Het_Hom_DE"
"4","LAP3","Het_Hom_DE"
"5","SLC7A2","Het_Hom_DE"
"6","SARM1","Het_Hom_DE"
"7","CAMKK1","Het_Hom_DE"
"8","PDK4","Het_Hom_DE"
"9","ZMYND10","Het_Hom_DE"
"10","ARX","common"
"11","ST7","Het_Hom_DE"
"12","SKAP2","Het_Hom_DE"
"13","THSD7A","common"
"14","LIG3","Het_Hom_DE"
"15","WDR54","Het_Hom_DE"
"16","CROT","Het_Hom_DE"
"17","ITGA3","Het_Hom_DE"
"18","ITGA2B","Het_Hom_DE"
"19","YBX2","Het_Hom_DE"
"20","TNFRSF12A","Het_Hom_DE"
"21","BAIAP2L1","Het_Hom_DE"
"22","ETV1","Het_Hom_DE"
"23","PROM1","Het_Hom_DE"
"24","NOS2","common"
"25","DNAH9","Het_Hom_DE"
"26","MATK","Het_Hom_DE"
"27","PAX6","common"
"28","CACNA2D2","Het_Hom_DE"
"29","BAIAP3","Het_Hom_DE"
"30","MYLIP","Het_Hom_DE"
"31","E2F2","Het_Hom_DE"
"32","DLEC1","Het_Hom_DE"
"33","ST3GAL1","Het_Hom_DE"
"34","IL32","Het_Hom_DE"
"35","MAPK8IP2","Het_Hom_DE"
"36","RHOBTB2","Het_Hom_DE"
"37","REV3L","Het_Hom_DE"
"38","PAX7","Het_Hom_DE"
"39","POMT2","Het_Hom_DE"
"40","MLXIPL","Het_Hom_DE"
"41","IDS","Het_Hom_DE"
"42","HIVEP2","Het_Hom_DE"
"43","ANOS1","Het_Hom_DE"
"44","PSMC4","Het_Hom_DE"
"45","CLDN11","Het_Hom_DE"
"46","MVP","Het_Hom_DE"
"47","POLR3B","Het_Hom_DE"
"48","MTMR11","Het_Hom_DE"
"49","STMN4","Het_Hom_DE"
"50","ISL1","Het_Hom_DE"
"51","ATP1A2","Het_Hom_DE"
"52","SYT13","Het_Hom_DE"
"53","SNAI2","Het_Hom_DE"
"54","CD74","Het_Hom_DE"
"55","SAMD4A","Het_Hom_DE"
"56","PLEKHB1","Het_Hom_DE"
"57","NRXN3","Het_Hom_DE"
"58","GRAMD1B","Het_Hom_DE"
"59","GLRX2","Het_Hom_DE"
"60","SNAPC1","Het_Hom_DE"
"61","EHD2","Het_Hom_DE"
"62","RRAGD","Het_Hom_DE"
"63","CD44","Het_Hom_DE"
"64","KCNG1","Het_Hom_DE"
"65","MIPEP","Het_Hom_DE"
"66","B4GALT7","Het_Hom_DE"
"67","ANK1","Het_Hom_DE"
"68","ARHGAP31","Het_Hom_DE"
"69","IFT88","Het_Hom_DE"
"70","CHPF2","Het_Hom_DE"
"71","SLC4A7","Het_Hom_DE"
"72","CLXN","Het_Hom_DE"
"73","SH3YL1","Het_Hom_DE"
"74","USP2","Het_Hom_DE"
"75","METTL1","Het_Hom_DE"
"76","AGA","Het_Hom_DE"
"77","PI4K2B","Het_Hom_DE"
"78","ZFYVE16","Het_Hom_DE"
"79","RAI14","Het_Hom_DE"
"80","CTNS","Het_Hom_DE"
"81","CDH10","Het_Hom_DE"
"82","RAB27B","Het_Hom_DE"
"83","MYO16","common"
"84","TNC","common"
"85","THAP3","Het_Hom_DE"
"86","RIPOR3","Het_Hom_DE"
"87","AIFM2","Het_Hom_DE"
"88","MED17","Het_Hom_DE"
"89","CAPG","Het_Hom_DE"
"90","JADE2","Het_Hom_DE"
"91","ZIC2","common"
"92","CUL7","Het_Hom_DE"
"93","EPHA3","common"
"94","GPM6B","Het_Hom_DE"
"95","ARAP2","Het_Hom_DE"
"96","C12orf4","Het_Hom_DE"
"97","SCML1","Het_Hom_DE"
"98","FAM184B","Het_Hom_DE"
"99","RRM2B","Het_Hom_DE"
"100","LMO3","Het_Hom_DE"
"101","GUCA1A","Het_Hom_DE"
"102","COL9A2","Het_Hom_DE"
"103","KITLG","Het_Hom_DE"
"104","ERCC8","Het_Hom_DE"
"105","ADAMTS6","Het_Hom_DE"
"106","LTBP1","common"
"107","DKK3","Het_Hom_DE"
"108","RAD51","Het_Hom_DE"
"109","PLEKHA5","Het_Hom_DE"
"110","FNIP2","Het_Hom_DE"
"111","TTC17","Het_Hom_DE"
"112","FOXN3","Het_Hom_DE"
"113","METTL24","Het_Hom_DE"
"114","NNAT","Het_Hom_DE"
"115","LAMA3","Het_Hom_DE"
"116","HHAT","Het_Hom_DE"
"117","FOXC1","Het_Hom_DE"
"118","KCNH2","Het_Hom_DE"
"119","FAM114A2","Het_Hom_DE"
"120","MCOLN3","Het_Hom_DE"
"121","ITIH4","Het_Hom_DE"
"122","NPFFR2","Het_Hom_DE"
"123","PHF21B","Het_Hom_DE"
"124","PRDM1","Het_Hom_DE"
"125","CDK14","Het_Hom_DE"
"126","CAMK2B","Het_Hom_DE"
"127","MXD1","Het_Hom_DE"
"128","SLC2A3","Het_Hom_DE"
"129","COL11A1","Het_Hom_DE"
"130","BCAT1","Het_Hom_DE"
"131","PRDM6","Het_Hom_DE"
"132","GUCY1B1","Het_Hom_DE"
"133","CDH3","Het_Hom_DE"
"134","ZNF112","Het_Hom_DE"
"135","SLC6A16","Het_Hom_DE"
"136","CA11","Het_Hom_DE"
"137","SPA17","Het_Hom_DE"
"138","DMRT3","Het_Hom_DE"
"139","CDON","common"
"140","HIPK2","Het_Hom_DE"
"141","SLC12A2","Het_Hom_DE"
"142","EYA2","Het_Hom_DE"
"143","SNCAIP","Het_Hom_DE"
"144","NHERF2","Het_Hom_DE"
"145","TRAM2","Het_Hom_DE"
"146","NTN1","common"
"147","ANKRD44","Het_Hom_DE"
"148","ADAT1","Het_Hom_DE"
"149","MYLK","Het_Hom_DE"
"150","SNAP91","Het_Hom_DE"
"151","SEC61A2","Het_Hom_DE"
"152","FAM107B","Het_Hom_DE"
"153","ME1","Het_Hom_DE"
"154","SLC9A7","Het_Hom_DE"
"155","PDE4A","Het_Hom_DE"
"156","PPP2R5A","Het_Hom_DE"
"157","CTNNA2","Het_Hom_DE"
"158","NGEF","Het_Hom_DE"
"159","ELOVL1","Het_Hom_DE"
"160","ISOC1","Het_Hom_DE"
"161","TRMT11","Het_Hom_DE"
"162","KIF26A","Het_Hom_DE"
"163","FECH","Het_Hom_DE"
"164","DDX3Y","Het_Hom_DE"
"165","PFKP","Het_Hom_DE"
"166","STOML1","Het_Hom_DE"
"167","METTL22","Het_Hom_DE"
"168","ZFY","Het_Hom_DE"
"169","ROGDI","Het_Hom_DE"
"170","RASSF1","Het_Hom_DE"
"171","REEP1","common"
"172","PPP2R5B","Het_Hom_DE"
"173","PYGM","Het_Hom_DE"
"174","BCL3","Het_Hom_DE"
