"","genes","state"
"1","SKAP2","Het_Con"
"2","MCUB","Het_Con"
"3","TNFRSF12A","Het_Con"
"4","ETV1","Het_Con"
"5","NOS2","common"
"6","ST3GAL1","Het_Con"
"7","PAX7","Het_Con"
"8","STMN4","Het_Con"
"9","SNAI2","Het_Con"
"10","ANK1","Het_Con"
"11","DNAH5","Het_Con"
"12","RIPOR3","Het_Con"
"13","CAPG","Het_Con"
"14","EPHA3","common"
"15","COL9A2","Het_Con"
"16","ADAMTS6","Het_Con"
"17","LTBP1","common"
"18","NNAT","Het_Con"
"19","FOXC1","Het_Con"
"20","ITIH4","Het_Con"
"21","CDH3","Het_Con"
"22","ZNF112","Het_Con"
"23","EYA2","Het_Con"
"24","NGEF","Het_Con"
"25","KIF26A","Het_Con"
"26","PFKP","Het_Con"
"27","FGFR3","common"
"28","BCL3","Het_Con"
"29","PTPN3","Het_Con"
"30","MYO3B","Het_Con"
"31","SLC6A15","Het_Con"
"32","CYP2W1","Het_Con"
"33","GSDMB","Het_Con"
"34","KCNQ2","Het_Con"
"35","ADD2","Het_Con"
"36","ADCY2","Het_Con"
"37","ITM2A","Het_Con"
"38","RUNX1T1","common"
"39","MOXD1","Het_Con"
"40","CDH7","common"
"41","SERTAD4","common"
"42","NKAIN1","Het_Con"
"43","CD82","Het_Con"
"44","MECOM","common"
"45","TESC","Het_Con"
"46","LTBP4","Het_Con"
"47","DLL3","Het_Con"
"48","TF","Het_Con"
"49","ANGPT2","Het_Con"
"50","JPH4","Het_Con"
"51","TGFB2","Het_Con"
"52","CRTAC1","Het_Con"
"53","CATSPERG","Het_Con"
"54","MFNG","Het_Con"
"55","CARD10","Het_Con"
"56","PLA2G3","Het_Con"
"57","SEZ6L","Het_Con"
"58","TSPO","Het_Con"
"59","KCNK10","common"
"60","ABHD4","Het_Con"
"61","PAPLN","Het_Con"
"62","SLC17A9","Het_Con"
"63","NKAIN4","Het_Con"
"64","PPP1R16B","Het_Con"
"65","SYNDIG1","common"
"66","FGF9","Het_Con"
"67","WFDC1","Het_Con"
"68","PRSS33","Het_Con"
"69","CORO2B","Het_Con"
"70","RASL12","Het_Con"
"71","EYA1","Het_Con"
"72","NDRG1","Het_Con"
"73","STMN2","Het_Con"
"74","RELB","Het_Con"
"75","LIM2","Het_Con"
"76","ARRDC2","Het_Con"
"77","VIPR2","Het_Con"
"78","COBL","common"
"79","EPHB6","Het_Con"
"80","PTPRZ1","Het_Con"
"81","PCOLCE","Het_Con"
"82","MEST","Het_Con"
"83","LHX2","common"
"84","GATA3","Het_Con"
"85","CUBN","Het_Con"
"86","SPOCK2","Het_Con"
"87","FGF8","common"
"88","SORCS1","common"
"89","PBLD","Het_Con"
"90","LGI1","common"
"91","ASIC2","Het_Con"
"92","NMU","common"
"93","SNX25","Het_Con"
"94","CRYAB","Het_Con"
"95","B3GAT1","Het_Con"
"96","DTX4","Het_Con"
"97","NRXN2","Het_Con"
"98","KIAA1549L","Het_Con"
"99","SLC15A3","Het_Con"
"100","PRMT8","Het_Con"
"101","GAPDH","Het_Con"
"102","BTN3A3","Het_Con"
"103","GCNT2","Het_Con"
"104","SIM1","Het_Con"
"105","EYA4","common"
"106","ARFGEF3","Het_Con"
"107","GUCA1B","Het_Con"
"108","GMDS","Het_Con"
"109","PDGFRB","Het_Con"
"110","CNTN3","Het_Con"
"111","TP53I3","Het_Con"
"112","OTX1","Het_Con"
"113","QPCT","common"
"114","KCNC4","Het_Con"
"115","KIF21B","Het_Con"
"116","SLC2A1","Het_Con"
"117","MAN1C1","Het_Con"
"118","APOA1","common"
"119","KLF7","Het_Con"
"120","TTR","common"
"121","PLAGL1","common"
"122","SGK1","Het_Con"
"123","VAMP8","Het_Con"
"124","SPP1","Het_Con"
"125","PCDH17","Het_Con"
"126","HS1BP3","Het_Con"
"127","PGF","Het_Con"
"128","NEK9","Het_Con"
"129","PLEKHG1","Het_Con"
"130","DUSP4","common"
"131","TNFRSF8","Het_Con"
"132","TMEM54","Het_Con"
"133","CXCR4","common"
"134","TWIST1","common"
"135","CNTFR","Het_Con"
"136","ITIH5","Het_Con"
"137","PLP1","Het_Con"
"138","TNFAIP6","Het_Con"
"139","TOX2","Het_Con"
"140","EDN3","Het_Con"
"141","CHST8","Het_Con"
"142","KLHL31","Het_Con"
"143","ATXN1","Het_Con"
"144","ABCC4","Het_Con"
"145","SOX9","Het_Con"
"146","HS3ST3B1","common"
"147","SDCBP2","Het_Con"
"148","NKX2-2","common"
"149","BFSP1","Het_Con"
"150","DSTN","Het_Con"
"151","RRAS","Het_Con"
"152","ZNF384","Het_Con"
"153","LRRC61","Het_Con"
"154","SYNGR3","Het_Con"
"155","FOXP2","Het_Con"
"156","LRRC17","Het_Con"
"157","FEZF1","common"
"158","GAD1","Het_Con"
"159","ARHGAP22","Het_Con"
"160","CLN6","Het_Con"
"161","AP1M2","Het_Con"
"162","EGLN3","Het_Con"
"163","APOC1","Het_Con"
"164","CACNG6","Het_Con"
"165","OLFM1","Het_Con"
"166","HIP1R","Het_Con"
"167","SLC6A8","Het_Con"
"168","PNCK","Het_Con"
"169","SLC6A6","Het_Con"
"170","RAMP1","Het_Con"
"171","RAP1GAP2","Het_Con"
"172","KANK4","Het_Con"
"173","CHRM3","Het_Con"
"174","DCLK1","Het_Con"
"175","CCNA1","Het_Con"
"176","GSC","Het_Con"
"177","HMGCS2","Het_Con"
"178","MYCN","Het_Con"
"179","LDHA","Het_Con"
"180","FST","Het_Con"
"181","RAX","Het_Con"
"182","SPX","Het_Con"
"183","DDB2","Het_Con"
"184","SOX3","Het_Con"
"185","PDGFRA","Het_Con"
"186","CD36","Het_Con"
"187","CAPN9","Het_Con"
"188","NPL","Het_Con"
"189","USP44","Het_Con"
"190","CNMD","Het_Con"
"191","SPRY2","Het_Con"
"192","NKX2-8","common"
"193","NKX2-1","common"
"194","GAD2","common"
"195","LMX1B","Het_Con"
"196","FHDC1","Het_Con"
"197","PI15","Het_Con"
"198","DDX60","Het_Con"
"199","SORL1","Het_Con"
"200","STRA6","Het_Con"
"201","SPTBN5","Het_Con"
"202","BCAR3","Het_Con"
"203","IFI44L","Het_Con"
"204","SIX3","Het_Con"
"205","ADAMTS14","common"
"206","SLC40A1","Het_Con"
"207","PCDH10","common"
"208","CPNE8","Het_Con"
"209","AMIGO2","Het_Con"
"210","DUSP6","Het_Con"
"211","LUM","Het_Con"
"212","ASCL1","common"
"213","TMEM132B","common"
"214","SDSL","Het_Con"
"215","FOXN4","Het_Con"
"216","KCNH5","Het_Con"
"217","SLC27A2","Het_Con"
"218","HDC","Het_Con"
"219","ARRDC4","Het_Con"
"220","CDH11","common"
"221","MYOCD","common"
