"","gene","hetero_vs_control","homo_vs_control","homo_vs_hetero"
"1","CFTR","absent","absent","neg"
"2","PDK4","absent","neg","neg"
"3","ZMYND10","absent","neg","neg"
"4","ARX","absent","neg","neg"
"5","SKAP2","absent","absent","neg"
"6","THSD7A","absent","neg","neg"
"7","DNAH9","absent","neg","neg"
"8","PAX7","absent","absent","neg"
"9","KCNG1","absent","absent","neg"
"10","MUSK","absent","pos","pos"
"11","USP2","absent","neg","neg"
"12","MYO16","absent","neg","neg"
"13","TNC","absent","pos","pos"
"14","EPHA3","absent","neg","neg"
"15","KITLG","absent","neg","neg"
"16","FOXC1","absent","neg","neg"
"17","ITIH4","absent","neg","neg"
"18","NPFFR2","absent","absent","neg"
"19","DMRT3","absent","absent","pos"
"20","SNCAIP","absent","absent","neg"
"21","NTN1","absent","neg","neg"
"22","REEP1","absent","neg","neg"
"23","ABCC9","absent","neg","neg"
"24","MYO3B","absent","absent","pos"
"25","CACNG4","absent","neg","neg"
"26","SPAG6","absent","neg","neg"
"27","ADCY2","absent","neg","neg"
"28","ITM2A","absent","neg","neg"
"29","RUNX1T1","absent","neg","neg"
"30","SCGN","absent","neg","neg"
"31","SLC4A4","absent","neg","neg"
"32","SMARCA2","absent","absent","neg"
"33","CDH7","absent","neg","neg"
"34","EPB41L3","absent","neg","neg"
"35","CFAP61","absent","neg","neg"
"36","RGS1","absent","absent","neg"
"37","THPO","absent","neg","neg"
"38","TF","absent","absent","neg"
"39","TGFB2","absent","absent","neg"
"40","PALMD","absent","neg","neg"
"41","SEZ6L","absent","absent","pos"
"42","APOL1","absent","neg","neg"
"43","TRIM9","absent","neg","neg"
"44","COL20A1","absent","pos","pos"
"45","SPEF1","absent","neg","neg"
"46","ISM1","absent","neg","neg"
"47","SYNDIG1","absent","neg","neg"
"48","SYTL4","absent","neg","neg"
"49","EYA1","absent","neg","neg"
"50","NIPAL2","absent","neg","neg"
"51","STMN2","absent","neg","neg"
"52","ODAD1","absent","absent","pos"
"53","NPTX2","absent","neg","neg"
"54","PCOLCE","absent","neg","neg"
"55","DKK1","absent","absent","neg"
"56","RNF43","absent","pos","pos"
"57","ASIC2","absent","absent","neg"
"58","CACNG1","absent","neg","neg"
"59","ELMOD1","absent","absent","neg"
"60","GLI1","absent","neg","neg"
"61","RFX4","absent","neg","neg"
"62","RSPH4A","absent","neg","neg"
"63","SIM1","absent","neg","neg"
"64","NME5","absent","neg","neg"
"65","RASGRF2","absent","neg","neg"
"66","WNT5A","absent","neg","neg"
"67","C3orf52","absent","absent","neg"
"68","EFCC1","absent","neg","neg"
"69","NEK11","absent","neg","neg"
"70","POMC","neg","neg","neg"
"71","APC2","absent","neg","neg"
"72","GALNT3","absent","absent","neg"
"73","MLPH","absent","absent","neg"
"74","SFPQ","absent","absent","neg"
"75","WLS","absent","neg","neg"
"76","RGS2","absent","absent","neg"
"77","KMO","absent","neg","neg"
"78","MTARC2","absent","neg","neg"
"79","APOA1","absent","absent","neg"
"80","TTR","absent","neg","neg"
"81","BCL11A","absent","neg","neg"
"82","TNN","absent","neg","neg"
"83","NPPB","pos","absent","neg"
"84","KCNJ8","absent","neg","neg"
"85","PDZRN3","absent","absent","neg"
"86","INHBA","absent","neg","neg"
"87","TWIST1","absent","neg","neg"
"88","NUDT10","absent","absent","neg"
"89","ITIH5","absent","neg","neg"
"90","NRK","absent","absent","neg"
"91","DAW1","absent","neg","neg"
"92","NCOA5","absent","absent","neg"
"93","EDN3","absent","absent","neg"
"94","PMEPA1","absent","neg","neg"
"95","CHST8","absent","neg","neg"
"96","COL21A1","absent","neg","neg"
"97","PAX8","absent","pos","pos"
"98","PCSK2","absent","neg","neg"
"99","BFSP1","absent","absent","neg"
"100","LAMP5","absent","pos","pos"
"101","FLRT1","absent","absent","neg"
"102","FGD3","absent","neg","neg"
"103","LRRC61","pos","absent","neg"
"104","TNFRSF19","absent","neg","neg"
