X,Figure1E,Figure2C,Figure2D,Figure2H,Figure4B,genes,sc_w3_w4,mouse
ENSG00000003147,vAN,NA,NA,NA,NA,ICA1,expressed,NA
ENSG00000003436,dAN,Forebrain,NA,NA,NA,TFPI,expressed,NA
ENSG00000003989,vAN,Early differentiation,NA,NA,Cluster 1,SLC7A2,expressed,NA
ENSG00000004468,dAN,Early differentiation,NA,NA,Cluster 2,CD38,expressed,NA
ENSG00000004799,vAN,NA,NA,NA,NA,PDK4,expressed,NA
ENSG00000004838,vAN,NA,NA,NA,Cluster 1,ZMYND10,expressed,NA
ENSG00000005020,vAN,Ventral forebrain,NA,NA,NA,SKAP2,expressed,NA
ENSG00000005102,dAN,Dorsal forebrain,NA,NA,NA,MEOX1,expressed,NA
ENSG00000005108,vAN,NA,NA,NA,NA,THSD7A,expressed,NA
ENSG00000005469,dAN,Dorsal forebrain,NA,NA,NA,CROT,expressed,NA
ENSG00000005513,vAN,NA,NA,NA,NA,SOX8,expressed,NA
ENSG00000006128,dAN,Dorsal forebrain,NA,NA,NA,TAC1,expressed,NA
ENSG00000006327,dAN,Dorsal forebrain,NA,NA,NA,TNFRSF12A,expressed,NA
ENSG00000006453,dAN,NA,NA,NA,Cluster 2,BAIAP2L1,expressed,NA
ENSG00000007171,dAN,Dorsal forebrain,NA,NA,NA,NOS2,expressed,NA
ENSG00000007350,dAN,Dorsal forebrain,NA,NA,Cluster 2,TKTL1,expressed,NA
ENSG00000007372,dAN,Dorsal forebrain,NA,NA,Cluster 2,PAX6,expressed,NA
ENSG00000007968,vAN,NA,NA,NA,Cluster 1,E2F2,expressed,NA
ENSG00000008196,dAN,Dorsal forebrain,NA,NA,NA,TFAP2B,expressed,NA
ENSG00000008226,vAN,Ventral forebrain,NA,NA,Cluster 1,DLEC1,expressed,NA
ENSG00000008277,vAN,NA,NA,NA,NA,ADAM22,expressed,NA
ENSG00000008323,dAN,NA,NA,NA,NA,PLEKHG6,expressed,NA
ENSG00000008516,dAN,Early differentiation,NA,NA,NA,MMP25,expressed,NA
ENSG00000009694,vAN,NA,NA,NA,NA,TENM1,expressed,NA
ENSG00000010030,dAN,NA,NA,NA,NA,ETV7,NA,NA
ENSG00000010278,dAN,Early differentiation,NA,NA,NA,CD9,expressed,NA
ENSG00000010310,vAN,Ventral forebrain,NA,NA,NA,GIPR,expressed,NA
