#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1CF	APOBEC3F	9606.ENSP00000378868	9606.ENSP00000309749	0	0	0	0	0	0.045	0.720	0.461	0.843
A1CF	PSMG2	9606.ENSP00000378868	9606.ENSP00000325919	0	0	0	0	0	0.596	0	0	0.596
A1CF	CDA	9606.ENSP00000378868	9606.ENSP00000364212	0	0	0	0	0.129	0	0	0.677	0.706
A1CF	RPS6	9606.ENSP00000378868	9606.ENSP00000369757	0	0	0	0	0	0.419	0	0.052	0.425
A1CF	SFMBT1	9606.ENSP00000378868	9606.ENSP00000378235	0	0	0	0	0	0	0	0.446	0.446
AARS1	XBP1	9606.ENSP00000261772	9606.ENSP00000216037	0	0	0	0	0.067	0	0	0.416	0.432
AARS1	DHTKD1	9606.ENSP00000261772	9606.ENSP00000263035	0.042	0	0	0	0.044	0	0	0.399	0.402
AARS1	FGD4	9606.ENSP00000261772	9606.ENSP00000433666	0	0	0	0	0	0	0	0.407	0.407
AARS1	ME3	9606.ENSP00000261772	9606.ENSP00000440246	0.060	0	0	0	0.399	0	0	0	0.410
AARS1	PHGDH	9606.ENSP00000261772	9606.ENSP00000493382	0.053	0	0	0	0.250	0	0	0.285	0.448
AARS1	EEF2	9606.ENSP00000261772	9606.ENSP00000307940	0.057	0	0	0	0.169	0	0	0.381	0.473
AARS1	BUB1	9606.ENSP00000261772	9606.ENSP00000302530	0	0	0	0	0.068	0.412	0	0.203	0.525
AARS1	NSUN2	9606.ENSP00000261772	9606.ENSP00000264670	0.045	0	0	0	0.139	0.421	0	0.167	0.550
AARS1	TENT4A	9606.ENSP00000261772	9606.ENSP00000488642	0	0	0	0	0.044	0	0	0.549	0.550
AARS1	FAM89B	9606.ENSP00000261772	9606.ENSP00000431459	0	0	0	0	0	0.492	0	0.203	0.577
AARS1	RPS18	9606.ENSP00000261772	9606.ENSP00000393241	0.115	0.627	0	0	0.049	0	0	0.239	0.729
