#node	identifier	node_degree
ABAT	9606.ENSP00000379845	14
ABCA13	9606.ENSP00000411096	8
ABCB1	9606.ENSP00000478255	20
ABCD1	9606.ENSP00000218104	3
ABCG1	9606.ENSP00000354995	7
ABI3	9606.ENSP00000225941	2
ABLIM1	9606.ENSP00000277895	6
ABTB2	9606.ENSP00000410157	1
ACAA1	9606.ENSP00000333664	16
ACADS	9606.ENSP00000242592	13
ACKR3	9606.ENSP00000272928	9
ACSF2	9606.ENSP00000401831	7
ACSL4	9606.ENSP00000339787	15
ACTA2	9606.ENSP00000224784	39
ACTN1	9606.ENSP00000377941	29
ACTN3	9606.ENSP00000422007	19
ADAM12	9606.ENSP00000357668	20
ADAM19	9606.ENSP00000257527	6
ADAM22	9606.ENSP00000265727	12
ADAM28	9606.ENSP00000265769	7
ADAM9	9606.ENSP00000419446	12
ADAMTS10	9606.ENSP00000471851	5
ADAMTS12	9606.ENSP00000422554	3
ADAMTS14	9606.ENSP00000362304	6
ADAMTS15	9606.ENSP00000299164	1
ADAMTS18	9606.ENSP00000282849	2
ADAMTS19	9606.ENSP00000274487	0
ADAMTS20	9606.ENSP00000374071	1
ADAMTS5	9606.ENSP00000284987	16
ADAMTS9	9606.ENSP00000418735	8
ADAMTSL2	9606.ENSP00000346478	5
ADCY2	9606.ENSP00000342952	21
ADCYAP1	9606.ENSP00000462647	33
ADGRA1	9606.ENSP00000376384	4
ADGRB3	9606.ENSP00000359630	6
ADGRG6	9606.ENSP00000356581	7
ADGRL4	9606.ENSP00000359778	5
ADM	9606.ENSP00000436607	27
ADM2	9606.ENSP00000379087	7
ADORA1	9606.ENSP00000356205	9
ADRA1D	9606.ENSP00000368766	12
AFAP1L2	9606.ENSP00000303042	2
AFF2	9606.ENSP00000359489	4
AGBL1	9606.ENSP00000413001	2
AHNAK2	9606.ENSP00000353114	5
AJAP1	9606.ENSP00000367433	3
AJUBA	9606.ENSP00000262713	6
AKAP6	9606.ENSP00000280979	12
ALDH1A1	9606.ENSP00000297785	39
ALDH1A3	9606.ENSP00000332256	13
ALDH1L2	9606.ENSP00000258494	2
ALDH2	9606.ENSP00000261733	23
ALKAL2	9606.ENSP00000384604	0
ALPK2	9606.ENSP00000354991	2
ALPL	9606.ENSP00000363973	22
AMOTL2	9606.ENSP00000424765	7
AMY2B	9606.ENSP00000354610	5
ANGPT2	9606.ENSP00000314897	34
ANK1	9606.ENSP00000265709	48
ANKFN1	9606.ENSP00000321627	2
ANKRD1	9606.ENSP00000360762	16
ANKRD33	9606.ENSP00000301190	0
ANKRD34B	9606.ENSP00000339802	0
ANKRD65	9606.ENSP00000445688	0
ANOS1	9606.ENSP00000262648	11
ANPEP	9606.ENSP00000300060	24
ANXA1	9606.ENSP00000366109	37
ANXA3	9606.ENSP00000264908	4
APBB1	9606.ENSP00000477213	4
APCDD1	9606.ENSP00000347433	6
APELA	9606.ENSP00000484618	2
APLN	9606.ENSP00000391800	21
APLNR	9606.ENSP00000475344	17
APLP1	9606.ENSP00000221891	13
APOA1	9606.ENSP00000236850	37
APOBEC3G	9606.ENSP00000385057	9
AQP3	9606.ENSP00000297991	2
ARFGAP3	9606.ENSP00000263245	4
ARHGAP10	9606.ENSP00000336923	0
ARHGAP15	9606.ENSP00000295095	1
ARHGAP4	9606.ENSP00000359045	1
ARHGEF15	9606.ENSP00000355026	9
ARID5B	9606.ENSP00000279873	9
ARL4C	9606.ENSP00000339754	2
ARMC3	9606.ENSP00000298032	24
ARMCX2	9606.ENSP00000349281	2
ARRDC2	9606.ENSP00000222250	4
ARRDC4	9606.ENSP00000268042	1
ARSI	9606.ENSP00000333395	3
ARSJ	9606.ENSP00000320219	3
ASAH2	9606.ENSP00000378897	2
ASAP3	9606.ENSP00000338769	0
ASCL1	9606.ENSP00000266744	79
ASPG	9606.ENSP00000450040	8
ASS1	9606.ENSP00000361471	11
