#node	identifier	node_degree
ADGRD2	9606.ENSP00000335156	0
AEN	9606.ENSP00000331944	0
ANKRD18B	9606.ENSP00000290943	0
AP1S2	9606.ENSP00000500695	0
APOL6	9606.ENSP00000386280	0
ASPH	9606.ENSP00000368767	0
ATG9B	9606.ENSP00000491504	0
ATP6V1E2	9606.ENSP00000304891	0
B4GALNT4	9606.ENSP00000328277	0
BASP1	9606.ENSP00000319281	2
BEGAIN	9606.ENSP00000411124	1
BET1L	9606.ENSP00000372210	4
BGN	9606.ENSP00000327336	1
BLOC1S2	9606.ENSP00000359398	0
BMPR2	9606.ENSP00000363708	0
C11orf71	9606.ENSP00000325508	0
C14orf132	9606.ENSP00000490925	0
C1GALT1C1L	9606.ENSP00000489061	1
C22orf42	9606.ENSP00000371529	0
CAPS2	9606.ENSP00000386959	0
CCDC30	9606.ENSP00000339280	0
CCNL2	9606.ENSP00000383611	0
CDH4	9606.ENSP00000484928	0
CDRT1	9606.ENSP00000379242	0
CEND1	9606.ENSP00000328336	0
CEP290	9606.ENSP00000448012	1
CEP57L1	9606.ENSP00000357966	0
CHD9	9606.ENSP00000396345	1
CNPY2	9606.ENSP00000273308	0
COL14A1	9606.ENSP00000297848	2
COL27A1	9606.ENSP00000348385	1
COPS8	9606.ENSP00000346340	1
CTNNBIP1	9606.ENSP00000366474	0
CUX1	9606.ENSP00000353401	2
CYBC1	9606.ENSP00000388909	0
DNAAF4	9606.ENSP00000323275	0
DNAH17	9606.ENSP00000374490	1
DNER	9606.ENSP00000345229	0
DYNLL2	9606.ENSP00000477310	3
EFNA5	9606.ENSP00000328777	0
EID2	9606.ENSP00000375073	0
ENTPD6	9606.ENSP00000365840	1
EPPK1	9606.ENSP00000484472	0
ERCC6	9606.ENSP00000348089	2
ESPN	9606.ENSP00000496593	1
EXOC7	9606.ENSP00000334100	1
FAM169A	9606.ENSP00000373808	2
FAM228B	9606.ENSP00000482482	1
FAM229A	9606.ENSP00000455971	0
FAM49A	9606.ENSP00000370724	0
FAM89A	9606.ENSP00000355614	0
FANCM	9606.ENSP00000267430	4
FBXO46	9606.ENSP00000410007	0
FHL3	9606.ENSP00000362107	1
FIBIN	9606.ENSP00000321962	0
FJX1	9606.ENSP00000400223	0
FOXD1	9606.ENSP00000481581	2
FXYD7	9606.ENSP00000270310	0
FZD9	9606.ENSP00000345785	1
GABRA5	9606.ENSP00000382953	3
GABRQ	9606.ENSP00000469332	1
GAGE10	9606.ENSP00000385415	0
GAL3ST4	9606.ENSP00000353142	0
GALNT9	9606.ENSP00000329846	1
GAS6	9606.ENSP00000331831	0
GFY	9606.ENSP00000459439	0
GMFB	9606.ENSP00000350757	0
GPRIN2	9606.ENSP00000363436	1
GREB1	9606.ENSP00000370896	1
GRM7	9606.ENSP00000350348	1
H1-10	9606.ENSP00000329662	0
IGSF22	9606.ENSP00000421191	0
INSIG1	9606.ENSP00000344741	0
INSYN2B	9606.ENSP00000366582	0
JRK	9606.ENSP00000482410	0
KCMF1	9606.ENSP00000386738	0
LCAT	9606.ENSP00000264005	0
LEFTY1	9606.ENSP00000272134	2
LPAR1	9606.ENSP00000363553	1
LRRC70	9606.ENSP00000399441	0
MAFG	9606.ENSP00000350369	0
MANEAL	9606.ENSP00000362136	0
MAP7D2	9606.ENSP00000368964	1
METTL9	9606.ENSP00000350874	0
MMP17	9606.ENSP00000353767	0
MRPL14	9606.ENSP00000361084	2
MRPL40	9606.ENSP00000333401	3
MRPS6	9606.ENSP00000382250	3
MYBL1	9606.ENSP00000429633	0
MYO1D	9606.ENSP00000324527	1
NBPF19	9606.ENSP00000498781	1
NCR3LG1	9606.ENSP00000341637	0
NDUFAF8	9606.ENSP00000400184	0
NHEJ1	9606.ENSP00000349313	0
NKAPL	9606.ENSP00000345716	1
NRBP2	9606.ENSP00000414055	1
OTOG	9606.ENSP00000382323	0
PABPC1L2B	9606.ENSP00000362621	0
PCDH18	9606.ENSP00000355082	1
PCMTD2	9606.ENSP00000307854	0
PDIA2	9606.ENSP00000219406	0
PDXDC1	9606.ENSP00000379691	1
PNRC2	9606.ENSP00000497590	0
RIIAD1	9606.ENSP00000419249	0
RMI1	9606.ENSP00000317039	1
RNPC3	9606.ENSP00000432886	1
RPRM	9606.ENSP00000314946	0
RTL1	9606.ENSP00000497482	2
SCRT2	9606.ENSP00000246104	0
SH3BGRL2	9606.ENSP00000358853	0
SHH	9606.ENSP00000297261	5
SLC5A3	9606.ENSP00000370543	1
SLITRK1	9606.ENSP00000366288	1
SMOC1	9606.ENSP00000355110	1
SMTNL1	9606.ENSP00000432651	1
SNRNP35	9606.ENSP00000403310	1
SOWAHC	9606.ENSP00000365830	2
SOX12	9606.ENSP00000347646	0
SOX2	9606.ENSP00000323588	4
SPRED2	9606.ENSP00000348753	1
SPRED3	9606.ENSP00000345405	1
SRSF8	9606.ENSP00000480140	0
STK38L	9606.ENSP00000373684	0
STUM	9606.ENSP00000355752	0
SYNE3	9606.ENSP00000334308	0
SYS1	9606.ENSP00000243918	0
TEX45	9606.ENSP00000355241	0
THNSL1	9606.ENSP00000434887	0
TMED9	9606.ENSP00000330945	1
TMEM255B	9606.ENSP00000364502	0
TNFAIP2	9606.ENSP00000452634	1
TNFSF15	9606.ENSP00000363157	0
TRIM59	9606.ENSP00000311219	0
TRPV1	9606.ENSP00000459962	0
TSC22D2	9606.ENSP00000354543	1
TTC30A	9606.ENSP00000347915	0
TXNRD2	9606.ENSP00000383365	1
UCKL1	9606.ENSP00000346155	1
USF3	9606.ENSP00000320794	0
VMAC	9606.ENSP00000343348	0
WDR73	9606.ENSP00000387982	0
ZBTB38	9606.ENSP00000426387	0
ZNF135	9606.ENSP00000441410	0
ZNF234	9606.ENSP00000400878	0
ZNF358	9606.ENSP00000472305	0
ZNF425	9606.ENSP00000367300	0
ZNF493	9606.ENSP00000376110	0
ZNF594	9606.ENSP00000461032	0
ZNF69	9606.ENSP00000345333	0
ZNF709	9606.ENSP00000380840	0
ZNF718	9606.ENSP00000480556	0
ZNF772	9606.ENSP00000341165	0
ZNF789	9606.ENSP00000331927	0
ZNF792	9606.ENSP00000385099	0
ZSCAN2	9606.ENSP00000410198	0
