#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1CF	RPS6	9606.ENSP00000378868	9606.ENSP00000369757	0	0	0	0	0	0.419	0	0.052	0.425
A1CF	SFMBT1	9606.ENSP00000378868	9606.ENSP00000378235	0	0	0	0	0	0	0	0.446	0.446
AARS1	XBP1	9606.ENSP00000261772	9606.ENSP00000216037	0	0	0	0	0.067	0	0	0.416	0.432
AARS1	ME3	9606.ENSP00000261772	9606.ENSP00000440246	0.060	0	0	0	0.399	0	0	0	0.410
AARS1	NMD3	9606.ENSP00000261772	9606.ENSP00000417559	0	0	0	0	0.194	0.420	0	0	0.512
AARS1	SLC3A2	9606.ENSP00000261772	9606.ENSP00000367123	0.057	0	0	0	0.423	0	0	0.210	0.533
AARS1	TENT4A	9606.ENSP00000261772	9606.ENSP00000488642	0	0	0	0	0.044	0	0	0.549	0.550
AARS1	FAM89A	9606.ENSP00000261772	9606.ENSP00000355614	0	0	0	0	0	0.492	0	0.203	0.577
AARS1	GATB	9606.ENSP00000261772	9606.ENSP00000263985	0.115	0	0	0	0.208	0	0	0.780	0.832
AARS1	WARS1	9606.ENSP00000261772	9606.ENSP00000347495	0.058	0	0	0	0.253	0.179	0	0.857	0.906
ABCA1	APOA1	9606.ENSP00000363868	9606.ENSP00000236850	0	0	0	0	0.055	0.697	0.900	0.999	0.999
ABCA1	LIPG	9606.ENSP00000363868	9606.ENSP00000261292	0	0	0	0	0.042	0.074	0	0.624	0.638
ABCA1	LCAT	9606.ENSP00000363868	9606.ENSP00000264005	0	0	0	0	0.054	0	0	0.911	0.912
ABCA1	PPARGC1A	9606.ENSP00000363868	9606.ENSP00000264867	0	0	0	0	0.042	0	0	0.466	0.466
ABCA1	NPC1	9606.ENSP00000363868	9606.ENSP00000269228	0	0	0	0	0.062	0.067	0	0.806	0.816
ABCA1	CELSR2	9606.ENSP00000363868	9606.ENSP00000271332	0	0	0	0	0	0	0	0.546	0.546
ABCA1	MERTK	9606.ENSP00000363868	9606.ENSP00000295408	0	0	0	0	0.087	0.044	0	0.441	0.470
ABCA1	TRIB1	9606.ENSP00000363868	9606.ENSP00000312150	0	0	0	0	0.075	0	0	0.387	0.408
ABCA1	HADHB	9606.ENSP00000363868	9606.ENSP00000325136	0	0	0	0	0	0	0	0.480	0.480
ABCA1	NR1I2	9606.ENSP00000363868	9606.ENSP00000336528	0	0	0	0	0	0.049	0	0.424	0.429
ABCA1	TNRC6C	9606.ENSP00000363868	9606.ENSP00000336783	0	0	0	0	0	0	0.500	0.065	0.512
ABCA1	MBTPS1	9606.ENSP00000363868	9606.ENSP00000344223	0	0	0	0	0	0	0	0.509	0.509
ABCA1	INSIG1	9606.ENSP00000363868	9606.ENSP00000344741	0	0	0	0	0.043	0.053	0	0.691	0.696
ABCA1	DHCR7	9606.ENSP00000363868	9606.ENSP00000347717	0	0	0	0	0.055	0	0	0.472	0.479
ABCA1	MYLIP	9606.ENSP00000363868	9606.ENSP00000349298	0	0	0	0	0.062	0.067	0	0.809	0.818
ABCA1	DMD	9606.ENSP00000363868	9606.ENSP00000354923	0	0	0	0	0	0.292	0	0.414	0.567
ABCA1	ABCG1	9606.ENSP00000363868	9606.ENSP00000354995	0	0	0	0.567	0.088	0	0	0.516	0.540
ABCA1	CHD9	9606.ENSP00000363868	9606.ENSP00000396345	0	0	0	0	0.062	0.059	0.400	0.046	0.427
ABCA1	FDFT1	9606.ENSP00000363868	9606.ENSP00000491537	0	0	0	0	0	0.054	0	0.470	0.477
ABCA1	TNRC6B	9606.ENSP00000363868	9606.ENSP00000401946	0	0	0	0	0.047	0.054	0.500	0.063	0.521
