#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AARS1	XBP1	9606.ENSP00000261772	9606.ENSP00000216037	0	0	0	0	0.067	0	0	0.416	0.432
AARS1	ME3	9606.ENSP00000261772	9606.ENSP00000440246	0.060	0	0	0	0.399	0	0	0	0.410
AARS1	NMD3	9606.ENSP00000261772	9606.ENSP00000417559	0	0	0	0	0.194	0.420	0	0	0.512
AARS1	SLC3A2	9606.ENSP00000261772	9606.ENSP00000367123	0.057	0	0	0	0.423	0	0	0.210	0.533
ABCA1	APOA1	9606.ENSP00000363868	9606.ENSP00000236850	0	0	0	0	0.055	0.697	0.900	0.999	0.999
ABCA1	CELSR2	9606.ENSP00000363868	9606.ENSP00000271332	0	0	0	0	0	0	0	0.546	0.546
ABCA1	MERTK	9606.ENSP00000363868	9606.ENSP00000295408	0	0	0	0	0.087	0.044	0	0.441	0.470
ABCA1	TRIB1	9606.ENSP00000363868	9606.ENSP00000312150	0	0	0	0	0.075	0	0	0.387	0.408
ABCA1	HADHB	9606.ENSP00000363868	9606.ENSP00000325136	0	0	0	0	0	0	0	0.480	0.480
ABCA1	TNRC6C	9606.ENSP00000363868	9606.ENSP00000336783	0	0	0	0	0	0	0.500	0.065	0.512
ABCA1	INSIG1	9606.ENSP00000363868	9606.ENSP00000344741	0	0	0	0	0.043	0.053	0	0.691	0.696
ABCA1	DHCR7	9606.ENSP00000363868	9606.ENSP00000347717	0	0	0	0	0.055	0	0	0.472	0.479
ABCA1	DMD	9606.ENSP00000363868	9606.ENSP00000354923	0	0	0	0	0	0.292	0	0.414	0.567
ABCA1	FDFT1	9606.ENSP00000363868	9606.ENSP00000491537	0	0	0	0	0	0.054	0	0.470	0.477
ABCA1	TNRC6B	9606.ENSP00000363868	9606.ENSP00000401946	0	0	0	0	0.047	0.054	0.500	0.063	0.521
ABCA1	MTTP	9606.ENSP00000363868	9606.ENSP00000427679	0	0	0	0	0.057	0	0	0.558	0.566
ABCA1	RXRA	9606.ENSP00000363868	9606.ENSP00000419692	0	0	0	0	0.056	0.049	0.800	0.588	0.916
ACKR3	CXCR4	9606.ENSP00000272928	9606.ENSP00000386884	0	0	0	0.785	0.074	0.788	0.900	0.850	0.996
ACTN3	VCL	9606.ENSP00000422007	9606.ENSP00000211998	0	0	0	0	0.067	0.165	0	0.452	0.536
ACTN3	CASQ2	9606.ENSP00000422007	9606.ENSP00000261448	0	0	0	0	0.213	0.062	0	0.266	0.412
ACTN3	PDLIM3	9606.ENSP00000422007	9606.ENSP00000284767	0	0	0	0	0.160	0.127	0	0.305	0.446
ACTN3	MYLPF	9606.ENSP00000422007	9606.ENSP00000325239	0	0	0	0	0.574	0.052	0	0.508	0.784
ACTN3	TPM1	9606.ENSP00000422007	9606.ENSP00000351022	0	0	0	0	0.204	0.108	0	0.587	0.681
ACVR2B	SMAD7	9606.ENSP00000340361	9606.ENSP00000262158	0	0	0	0	0	0.328	0.500	0.532	0.829
ACVR2B	LRIG1	9606.ENSP00000340361	9606.ENSP00000273261	0	0	0	0	0.051	0.100	0	0.567	0.598
ACVR2B	GJA1	9606.ENSP00000340361	9606.ENSP00000282561	0	0	0	0	0.061	0.058	0	0.691	0.703
ACVR2B	ZIC3	9606.ENSP00000340361	9606.ENSP00000287538	0	0	0	0	0.084	0.071	0	0.902	0.909
