Species	Term Accession	Term	Object	RGD ID	Symbol	Name	Type	Qualifiers	Evidence	Chr	Start	Stop	Reference(s)	Source(s)	Original Reference(s)	Notes
Human	PW:0000122	Hedgehog signaling pathway	gene	732909	AKT1	AKT serine/threonine kinase 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=732909" title="inferred from experiment">EXP</a>	14	104,769,349	104,795,748	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	731570	ARRB2	arrestin beta 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=731570" title="inferred from experiment">EXP</a>	17	4,710,632	4,721,497	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	733110	BMP2	bone morphogenetic protein 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733110" title="inferred from electronic annotation">IEA</a>	20	6,767,686	6,780,246	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	730832	BMP4	bone morphogenetic protein 4	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=730832" title="inferred from electronic annotation">IEA</a>	14	53,949,736	53,956,891	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1314330	BMP5	bone morphogenetic protein 5	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1314330" title="inferred from electronic annotation">IEA</a>	 6	55,753,653	55,875,590	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1353193	BMP6	bone morphogenetic protein 6	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1353193" title="inferred from electronic annotation">IEA</a>	 6	7,726,099	7,881,728	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1344234	BMP7	bone morphogenetic protein 7	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1344234" title="inferred from electronic annotation">IEA</a>	20	57,168,753	57,266,641	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1350211	BMP8A	bone morphogenetic protein 8a	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1350211" title="inferred from electronic annotation">IEA</a>	 1	39,491,636	39,529,869	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1353706	BMP8B	bone morphogenetic protein 8b	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1353706" title="inferred from electronic annotation">IEA</a>	 1	39,757,182	39,788,865	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1605311	BOC	BOC cell adhesion associated, oncogene regulated	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1605311" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1605311" title="inferred from experiment">EXP</a>	 3	113,210,926	113,287,459	PID	RGD,PID	 PMID:20844013	
Human	PW:0000122	Hedgehog signaling pathway	gene	1347748	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1347748" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1347748" title="inferred from electronic annotation">IEA</a>	10	101,354,048	101,557,313	KEGG	RGD,KEGG	 PMID:20635334	
Human	PW:0000122	Hedgehog signaling pathway	gene	1345886	CDON	cell adhesion associated, oncogene regulated	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1345886" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1345886" title="inferred from experiment">EXP</a>	11	125,956,821	126,063,352	PID	RGD,PID	 PMID:20844013	
Human	PW:0000122	Hedgehog signaling pathway	gene	619552	CREBBP	CREB binding protein	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=619552" title="inferred from experiment">EXP</a>	16	3,725,054	3,880,713	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	736167	CSNK1A1	casein kinase 1 alpha 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=736167" title="inferred from experiment">EXP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=736167" title="inferred from electronic annotation">IEA</a>	 5	149,492,982	149,551,439	PID, KEGG	PID,KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1352235	CSNK1A1L	casein kinase 1 alpha 1 like	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1352235" title="inferred from electronic annotation">IEA</a>	13	37,103,259	37,105,664	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	733311	CSNK1D	casein kinase 1 delta	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733311" title="inferred from experiment">EXP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733311" title="inferred from electronic annotation">IEA</a>	17	82,239,019	82,273,750	PID, KEGG	PID,KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	732829	CSNK1E	casein kinase 1 epsilon	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=732829" title="inferred from experiment">EXP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=732829" title="inferred from electronic annotation">IEA</a>	22	38,290,691	38,318,084	PID, KEGG	PID,KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	733469	CSNK1G1	casein kinase 1 gamma 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733469" title="inferred from experiment">EXP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733469" title="inferred from electronic annotation">IEA</a>	15	64,165,525	64,356,173	PID, KEGG	PID,KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	734368	CSNK1G2	casein kinase 1 gamma 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=734368" title="inferred from experiment">EXP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=734368" title="inferred from electronic annotation">IEA</a>	19	1,941,172	1,981,338	PID, KEGG	PID,KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	731819	CSNK1G3	casein kinase 1 gamma 3	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=731819" title="inferred from experiment">EXP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=731819" title="inferred from electronic annotation">IEA</a>	 5	123,512,177	123,617,049	PID, KEGG	PID,KEGG	 	
